validator,validator_name,rank,delegation,bond,power
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,1,35876868.26776653,2000000.0,37876868.26776653
hx3c58970034d5a923aa95058365450feed28979a2,GangstaBet,2,18690737.10773877,1133900.1914,19824637.29913877
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,3,23248838.951492924,1111000.2696,22220005.392
hx1b5c004de7b8591cb571f004fdfa00d74d1099e6,Binance Node,4,14349913.452627959,1000000.01,15349913.462627959
hx9121c5914ce34f59de52fe15efd6f7982c2ab8ae,ICON Asset Management,5,14463940.99704178,939049.6874,15402990.68444178
hxf680ae11372c48afebbce77c9d8de455e1acc18a,ICONFi,6,17136834.940442502,909034.3644,18045869.304842502
hx8e6dcffdf06f850af5d372ac96389135e17d56d3,Everstake,7,11750314.948793462,883691.713,12634006.661793461
hx231a795d1c719b9edf35c46b9daa4e0b5a1e83aa,ICONOsphere,8,18260212.223434616,595822.7382,11916454.764
hx3d5c3ce7554f4d762f6396e53b2c5de07074ec39,ICON DAO,9,12156082.003101245,579865.5848,11597311.696
hx28c08b299995a88756af64374e13db2240bc3142,PARROT9,10,14606603.311749283,553600.4238,11072008.476
hxe4c008b838e8a9a7c065f20f393974de4c86f917,ReliantNode,11,7207976.352524819,421706.8438,7629683.196324819
hxb11448743cbb63fcf29609401cdc5782793be211,ICONbet Community,12,6323369.655598013,375000.0,6698369.655598013
hx2bbb1b0300f5dc0caa0e1a3ba1701a22e7590763,Protokol7,13,7072804.276303615,371798.7335,7435974.67
hxbc9c73670c79e8f6f8060551a792c2cf29a8c491,MouseBelt | Multi.io,14,6481910.540671984,364082.1361,6845992.6767719835
hx262afdeda4eba10fe41fa5ef21796ac2bdcc6629,ICONation,15,6730184.849896112,359086.405,7089271.254896112
hxff6437443e7ed76d2d7f97f0d28d7ae1071bd0bb,Spartan Node,16,8851512.401509088,354759.4729,7095189.458
hxfc56203484921c3b7a4dee9579d8614d8c8daaf5,Geometry Labs,17,6967126.4608748425,325000.0,6500000.0
hxd0d9b0fee857de26fd1e8b15209ca15b14b851b2,VELIC,18,5384406.441552492,319997.9963,5704404.437852492
hx4a43790d44b07909d20fbcc233548fc80f7a4067,RHIZOME,19,6052531.201334894,310205.7649,6204115.298
hxf08bd5835fdb53dc7c764a5f4dd4e2e6359324e8,Metanyx,20,6859170.470467213,288350.0,5767000.0
hx0a72c03881451a6270d4895f756085470fc311e4,ICON Pinas,21,5551837.925891173,280882.0,5617640.0
hx3499cbe7a9c81b412243cac8c4e163d2e4ccb20c,Trustseers,22,6191127.378464352,272734.221,5454684.42
hx6f89b2c25c15f6294c79810221753131067ed3f8,Staky.io (ex Sharpn),23,5370523.911134557,268544.6114,5370892.228
hx9780bfcd8d33c50f56e37f5b27313433c28eb8d8,Stakin,24,7093039.997497405,256000.0,5120000.0
