rank,name,address,delegation,bond,power
1,ICON Foundation,hx0b047c751658f7ce1b2595da34d57a0e7dad357d,37814981.421885975,2000000.0,39814981.421885975
2,Lydia Labs,hxfba37e91ccc13ec1dab115811f73e429cde44d48,23435502.676979586,1156415.4028,23128308.056
3,Everstake,hx8e6dcffdf06f850af5d372ac96389135e17d56d3,21836340.678469505,1070691.713,21413834.26
4,GangstaBet,hx3c58970034d5a923aa95058365450feed28979a2,20188250.33660966,1134020.1914,21322270.52800966
5,GROW,hxf680ae11372c48afebbce77c9d8de455e1acc18a,20156403.728678614,1009034.3607,20180687.214
6,Binance Node,hx1b5c004de7b8591cb571f004fdfa00d74d1099e6,19903956.817789834,1000000.01,20000000.2
7,ICONLOOP,hxe44c986d1c6013c8cafc35edcbd6937985641fce,14154898.603248246,1000000.0,15154898.603248246
8,PARROT9,hx28c08b299995a88756af64374e13db2240bc3142,13420896.294323571,710000.0,14130896.294323571
9,ICON DAO,hx3d5c3ce7554f4d762f6396e53b2c5de07074ec39,13658645.32189804,646321.0809,12926421.618
10,ICONOsphere,hx231a795d1c719b9edf35c46b9daa4e0b5a1e83aa,15387107.358007008,564362.9376,11287258.752
11,FRĀMD,hxca60d4371ad90d624dc7119f81009d799c168aa1,10923399.199903077,512909.2175,10258184.35
12,ReliantNode,hxe4c008b838e8a9a7c065f20f393974de4c86f917,6946054.611640456,421706.8438,7367761.455440456
13,MouseBelt | Multi.io,hxbc9c73670c79e8f6f8060551a792c2cf29a8c491,6431762.368777534,364082.1361,6795844.504877534
14,Protokol7,hx2bbb1b0300f5dc0caa0e1a3ba1701a22e7590763,6326806.475659696,401886.7592,6728693.234859697
15,sudoblock,hxfc56203484921c3b7a4dee9579d8614d8c8daaf5,6817587.460835465,320000.0,6400000.0
16,ICONation,hx262afdeda4eba10fe41fa5ef21796ac2bdcc6629,5989753.543270745,359086.405,6348839.948270746
17,RHIZOME,hx4a43790d44b07909d20fbcc233548fc80f7a4067,5583647.585869538,287388.3997,5747767.994
18,ICON Pinas (Pilipinas),hx0a72c03881451a6270d4895f756085470fc311e4,5871551.264586388,280882.0,5617640.0
19,Plan-P,hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,5440443.254881327,279628.6354,5592572.708
20,Staky.io (ex Sharpn),hx6f89b2c25c15f6294c79810221753131067ed3f8,4923402.7779939985,468444.6114,5391847.389393998
21,Stakin,hx9780bfcd8d33c50f56e37f5b27313433c28eb8d8,14123491.08151685,234000.0,4680000.0
25,Hugobyte,hx31c429608c74501de13df5fea30bf1674460be50,4222715.951160401,213583.4887,4271669.774
22,Metanyx,hxf08bd5835fdb53dc7c764a5f4dd4e2e6359324e8,3906767.16899883,288350.0,4195117.16899883
26,ICON Asset Management,hx9121c5914ce34f59de52fe15efd6f7982c2ab8ae,10747837.588285748,205532.2872,4110645.744
27,NEOPLY,hx099b1e6b271bc6cd67d930a1c62ee5f3ed0e2c7d,3067905.5584903527,162080.0,3229985.5584903527
28,Ubik Capital,hx54d6f19c3d16b2ef23c09c885ca1ba776aaa80e2,2689406.8525209185,165027.5869,2854434.4394209185
29,GPS Gaming,hxb11448743cbb63fcf29609401cdc5782793be211,2632213.2028249344,175006.4363,2807219.639124934
30,Mineable,hxdc35f82a3a943e040ae2b9ab2baa2118781b2bc9,2539719.259310777,139100.0,2678819.259310777
31,CODE METAL,hxe872d22ad693279cd7ff33f51583f4117a4610b3,2459327.8116744203,199726.05,2659053.86167442
32,ICONTROL,hxe8767c80a009c7bb8344d81c430144463cbb325e,2447451.113858311,127699.9434,2553998.868
33,FOMOmental,hx437e3ce53016ffc71be609a4d1194e41a5d89678,2516604.9220040636,127626.1238,2552522.476
34,Inanis Invictus,hxc5e0b88cb9092bbd8b004a517996139334752f62,1807854.6170136426,162522.4404,1970377.0574136425
35,Unifi Protocol,hx80a3bb927f9edc899f98eb46bd7a7c601da12980,1545399.3383032072,130000.0,1675399.3383032072
36,InterBlock,hxc453700b9bd823d7f7175808a0986c0e3a45f2b4,1418263.4319819475,159634.2856,1577897.7175819473
23,ICON Sweden,hx1cb5883939f2fd478e92da1260438aa1f03440ca,1087438.7315614081,63377.1084,1150815.8399614082
37,Eye on ICON,hx2e7db537ca3ff73336bee1bab4cf733a94ae769b,933538.146722664,67749.0,1001287.146722664
38,ICON Chicago,hxf6672e670d2b5816061da22231f3a90f0b5955b5,840391.8080093481,51597.3287,891989.1367093481
