rank,name,address,delegation,bond,power
1,ICON Foundation,hx0b047c751658f7ce1b2595da34d57a0e7dad357d,39116102.11903406,2000000.0,40000000.0
2,Lydia Labs,hxfba37e91ccc13ec1dab115811f73e429cde44d48,21417107.83162033,1156415.4028,22573523.234420333
3,ICONFi,hxf680ae11372c48afebbce77c9d8de455e1acc18a,19180856.72053039,1009034.3607,20180687.214
4,Binance Node,hx1b5c004de7b8591cb571f004fdfa00d74d1099e6,19698386.057416204,1000000.01,20000000.2
5,Everstake,hx8e6dcffdf06f850af5d372ac96389135e17d56d3,18551690.153355733,940691.713,18813834.26
6,GangstaBet,hx3c58970034d5a923aa95058365450feed28979a2,15476434.865854552,1134020.1914,16610455.057254553
7,FRĀMD,hxca60d4371ad90d624dc7119f81009d799c168aa1,14571764.656017499,784423.7225,15356188.3785175
8,ICONOsphere,hx231a795d1c719b9edf35c46b9daa4e0b5a1e83aa,15266258.932200748,685406.8057,13708136.114
9,ICON DAO,hx3d5c3ce7554f4d762f6396e53b2c5de07074ec39,13103513.211129712,624383.2596,12487665.192
10,ICON Asset Management,hx9121c5914ce34f59de52fe15efd6f7982c2ab8ae,10843583.042948132,615105.513,11458688.555948133
11,PARROT9,hx28c08b299995a88756af64374e13db2240bc3142,13765560.062973553,430000.0,8600000.0
12,Protokol7,hx2bbb1b0300f5dc0caa0e1a3ba1701a22e7590763,7607421.208003354,399053.176,7981063.52
13,ReliantNode,hxe4c008b838e8a9a7c065f20f393974de4c86f917,6359606.753538809,421706.8438,6781313.597338809
14,ICONation,hx262afdeda4eba10fe41fa5ef21796ac2bdcc6629,6293070.164281429,359086.405,6652156.569281429
15,sudoblock,hxfc56203484921c3b7a4dee9579d8614d8c8daaf5,6209317.976578372,320000.0,6400000.0
16,MouseBelt | Multi.io,hxbc9c73670c79e8f6f8060551a792c2cf29a8c491,5763214.186672228,364082.1361,6127296.322772228
17,VELIC,hxd0d9b0fee857de26fd1e8b15209ca15b14b851b2,5593563.307374392,319997.9963,5913561.3036743915
18,ICON Pinas,hx0a72c03881451a6270d4895f756085470fc311e4,6085081.809750981,280882.0,5617640.0
19,RHIZOME,hx4a43790d44b07909d20fbcc233548fc80f7a4067,5299093.025117119,287388.3997,5586481.424817119
20,Staky.io (ex Sharpn),hx6f89b2c25c15f6294c79810221753131067ed3f8,4967195.349781938,468444.6114,5435639.961181938
21,Metanyx,hxf08bd5835fdb53dc7c764a5f4dd4e2e6359324e8,4569258.0218560845,288350.0,4857608.0218560845
22,Stakin,hx9780bfcd8d33c50f56e37f5b27313433c28eb8d8,11953878.285315715,234000.0,4680000.0
25,Trustseers,hx3499cbe7a9c81b412243cac8c4e163d2e4ccb20c,4234313.8214071775,251000.0,4485313.8214071775
26,Hugobyte,hx31c429608c74501de13df5fea30bf1674460be50,4233481.762667896,213583.4887,4271669.774
24,Plan-P,hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,4797965.768554425,210539.5627,4210791.254
27,NEOPLY,hx099b1e6b271bc6cd67d930a1c62ee5f3ed0e2c7d,3086606.231384257,162080.0,3241600.0
28,GPS Gaming,hxb11448743cbb63fcf29609401cdc5782793be211,2979847.698238788,206391.4363,3186239.1345387883
29,Mineable,hxdc35f82a3a943e040ae2b9ab2baa2118781b2bc9,3066831.296329793,152606.4623,3052129.246
30,Ubik Capital,hx54d6f19c3d16b2ef23c09c885ca1ba776aaa80e2,2966403.348928708,145991.3167,2919826.334
31,ICONTROL,hxe8767c80a009c7bb8344d81c430144463cbb325e,2448731.297292549,130426.4458,2579157.743092549
32,ICONbet,hx15686bf1f501115a2b5de381a20edc1963cb2ec3,1848775.4562559274,200000.0,2048775.4562559274
33,InterBlock,hxc453700b9bd823d7f7175808a0986c0e3a45f2b4,1887358.0815887372,154704.4052,2042062.4867887371
34,FOMOmental,hx437e3ce53016ffc71be609a4d1194e41a5d89678,1892183.9318566062,100126.8253,1992310.7571566063
35,Unifi Protocol,hx80a3bb927f9edc899f98eb46bd7a7c601da12980,1544820.0775206662,130000.0,1674820.0775206662
36,ICX Belgium,hx9a20bc2de732aad6de56dcaabb800c24aab86c28,1212758.5930887344,65000.0,1277758.5930887344
37,ICON Sweden,hx1cb5883939f2fd478e92da1260438aa1f03440ca,1094956.3316981932,63377.1084,1158333.4400981932
38,ICON Chicago,hxf6672e670d2b5816061da22231f3a90f0b5955b5,798555.8768026002,47129.0022,845684.8790026002
39,Silicon Valley ICON,hxc97bc2b6863b5f0094de7f0e5bcf82a404c4199b,646942.8705247993,50000.0,696942.8705247993
40,DSNC,hx5dff0f5953e8cb0d50aaabff041a524e27718bd2,468120.2873139522,26150.3715,494270.65881395224
41,ICONologist,hx30af89a52479d8ce8ac6682651203750d639a20f,434621.5815005441,23000.0,457621.5815005441
42,Blockmove,hx5b97bbec2e555289351806103833a465b7fbbd47,344684.62247921264,30100.0,374784.62247921264
43,Espanicon,hx9fa9d224306b0722099d30471b3c2306421aead7,258463.61072643835,20000.0,278463.61072643835
23,RemICX,hx35a0a985a9abd8cbbc71bec1aba74ca204369c8a,248618.13670122117,25000.0,273618.13670122117
44,Citadel.one,hx3aa778e1f00c77d3490e9e625f1f83ed26f90133,1769346.0568110938,13563.9615,271279.23
45,Transcranial Solutions,hx2f3fb9a9ff98df2145936d2bfcaa3837a289496b,226101.71710974665,20000.0,246101.71710974665
46,PiconbelloDAO,hxfa6714e4ec784ae2176c416c46dc2c98b6ec9074,221568.06053279573,20333.0017,241901.06223279572
47,ICON 4 ALL,hx69d49e8365659d7771f7e721d7f9b04367212557,198842.7594358817,20000.0,218842.7594358817
48,ICON Guide Star,hx135d9c1b6ad2b7750f153d1649b676f8625e470c,174518.7517743057,15495.892,190014.6437743057
49,Staked Tech,hx55f2cc3244350085734f4e405f761ecf3d2095b3,152639.2138714093,30000.0,182639.2138714093
50,Arcade Node,hx8d7f98f88560fc957d410afb53c5b269bebc8799,2434559.053720519,7352.537,147050.74
51,UNBLOCK {ICX GROWTH INCUBATOR},hx554ea6c0c56e6f30682dcaa79a326da3a364899f,132213.41186047124,6000.0,120000.0
52,A_Block,hxa19a398f4941abed1d0af82fb2f6081b76f29107,157368.6434116819,5000.0,100000.0
53,FOMO MASTERNODE,hx35760c56a8e3942a3e4e5cc2ba78b18502b4f421,89327.80401514303,3912.8015,78256.03
54,CODE METAL,hxe872d22ad693279cd7ff33f51583f4117a4610b3,70501.0,5000.0,75501.0
55,Spartan Node,hxff6437443e7ed76d2d7f97f0d28d7ae1071bd0bb,5425235.702868525,0.0,0.0
56,Atomic Wallet,hx5cb1e6d96eb1db986cee37a0a23a796de802a4bc,3755404.6018586387,0.0,0.0
57,ICON Forge,hx70f9a54bccc5295e4adecbe98d9a291bef4ff9a9,2429898.1660652007,0.0,0.0
58,Danal,hxa69031aef1bbb11ea0ee3647b278c158ecdab767,2207903.1649563084,0.0,0.0
59,Band Protocol,hx3911d68483684abee3bf0be488aaac7bbaf8d4d2,2189458.3751916056,0.0,0.0
60,ICON Hyperconnect,hxd5059fec8665bc7b769f4893aef65cf00049377a,1717826.0535974104,0.0,0.0
61,weBloc asia,hxf75bfd0df8d96ee0963965135af2485cee6d5000,1331139.8554600927,0.0,0.0
62,ICONPLUS,hxd6f20327d135cb0227230ab98792173a5c97b03e,1307049.3852744284,0.0,0.0
63,Alice,hx48b3ed0161c639a4b9ec8f2277cc5ab338af7c9a,964192.1859986272,0.0,0.0
64,MinerGate,hxfac9169f5ee9d3c85c190cfa1208ca45540dcf38,808475.3094562573,0.0,0.0
65,TNTXT,hx863e16bd18ceaa7d498b4b275e36cd58818b1f25,766528.1028984135,0.0,0.0
66,block42,hx168d2cfe6d73acb8cb690d3abda54d3af266addf,626786.411028564,0.0,0.0
67,DEMOS,hxa92cb92cf29a2e4a7433ebd9103c15b7e71cbafd,542448.0843955819,0.0,0.0
68,RHYTHM (Australia),hx18a807c44b0efdc2e02ea503d7bc011cc4242318,536433.5417301228,0.0,0.0
69,Foundry Box Media,hxc5e0b88cb9092bbd8b004a517996139334752f62,497852.43376562226,0.0,0.0
70,Catena,hx9cdb5bd98a1d757ce195a99c6273833b80b51c28,429964.8237848115,0.0,0.0
71,Blockchain at Berkeley,hx2cf560d42b3b505314c526336dad5d1f624bdb1f,378771.4052519665,0.0,0.0
72,ICX Australia,hx040b667627bbd02619e89439fab48b053e71c666,374128.2991660888,0.0,0.0
73,Symmetry SLC,hxab751d4e83b6fda412a38cb5f7f96860396b1327,347625.9990851666,0.0,0.0
74,HOLA ICON,hxa615b432cb84c3f2ed22194b32df317b474ec2c9,329101.4087153296,0.0,0.0
75,Deblock with STAYGE,hx4adc5a79b2fb3631790f6dca22d7b6e4912e6e85,305212.2810347557,0.0,0.0
76,ICON Labs,hx50040d39a04b7bc9197e9784779f07f9a6887811,276673.4660198701,0.0,0.0
77,ICXburners  (We burn our node rewards!),hx60ad5da1c0eb80f52ef7be5b07e590108078a96e,262119.167233032,0.0,0.0
78,Oasis,hx42c103859f2cc380bacb5b0ad3b058d7fe57f430,261248.18256435165,0.0,0.0
79,Newroad,hx9571df0bd727ce18adc177e8fd6bc45f885b3382,258217.26298195013,0.0,0.0
80,ICON USA,hxbf0f9646b09b0e0943ed768795c0d6c32a758d35,247235.75638843037,0.0,0.0
81,StakingTeam,hx19ccfc00b5af79ac75aaae9676b1f9ed5c9b5ca3,243419.67848177208,0.0,0.0
82,ICON4Education,hxd00b8fe10deb49aa291a9b2cb460779fc622fa12,242907.31553035683,0.0,0.0
83,ICONLEO (TOP 5 Voters receive bonus 80% of prep daily rewards),hx02645148d0887cd1daf345e3eabf8871780398e5,238823.25197440153,0.0,0.0
84,Coda Labs,hx6fefe6d0174357ba1c8f086a54ab1b277064e65f,218652.46589677897,0.0,0.0
85,Transform Group,hxec5e4136ddbf8e9aa119694b95d1baeecf947ee9,212483.8389831119,0.0,0.0
86,icon-node-NL,hx11434d1fce3edecf0e84a9c992a712f0cebf6992,195402.9047842695,0.0,0.0
87,Staked,hxdcff7a1ab76ba34a9e3c85b0f1e7b2bf436ac024,195070.94748600887,0.0,0.0
88,POCKET / FIGMENT,hxe886f81684bbecddd69a608093fb88624c94d20a,190655.24543019326,0.0,0.0
89,ICX Malta,hx05493cc93caf332f46715411e12c927750d210b6,190068.8739620038,0.0,0.0
90,ICON London,hx475e37c2decf56f5bf678060e3937c944921ccba,179486.5329215018,0.0,0.0
91,DELIGHT,hx004783f10b0bd56764535cf931650dfe6d42cd9e,177784.9642294707,0.0,0.0
92,ICON Slovenia,hx21a916b7a01b900861ca3f3b7ac76ba316169f8c,175012.01809549797,0.0,0.0
93,Signal9,hxc93a0be07e8a74d9a86d8b12e569b91154681bc8,170207.622409395,0.0,0.0
94,ICONNECT-Global,hx3571351614f64721081996247e53f6436ed05e55,162410.20486360654,0.0,0.0
95,Chainode Tech,hxd2de5d155251ff62bf2f6c2aa616da6472886165,157934.24917914232,0.0,0.0
96,ICONoscope,hxaf6f61827901d7c4674cf5d2ddbbca2bdae72faf,148758.6475062671,0.0,0.0
97,ICON Spark,hx54ebaf568d1d3e61a4ff7d648d3e5cb7ff6179ce,136224.48329246487,0.0,0.0
98,ICON France,hxf0e7b39f0d43591c9a5c823eb19b90462fa51c30,133586.15141034403,0.0,0.0
99,ICON BOOM,hxd19d4bc5a9eef4e044d83abc82d903ac80504ac8,127655.57022794081,0.0,0.0
