biweek,delegator,sum_votes,how_many_prep_voted,raffle_tickets,total_votes,total_votes,total_votes,total_votes,vote_percentages_per_prep,vote_percentages_per_prep,vote_percentages_per_prep,vote_percentages_per_prep,Qualified
,,,,,min,max,median,mean,min,max,median,mean,
2020-49 & 2020-50,hxc35919c430476b095652bc91056ba1baf0420f9e,4400.0,100,10,0.0,400.0,33.0,42.30769230769231,0.00000%,9.09091%,0.75000%,0.96154%,YES
2020-49 & 2020-50,hx18c7901c5df492dc4e57c9b4952f4d3cbce66206,271.2119,100,10,0.0,3.5614999999999988,2.714,2.6852663366336635,0.00000%,1.31318%,1.00069%,0.99010%,YES
2020-49 & 2020-50,hx93f780635e8eceb569c8ac44cdcb88eb4c5c39b3,5000.750799999996,100,10,20.0,1096.4992,54.3088,50.00750799999996,0.39994%,21.92669%,1.08601%,1.00000%,YES
2020-49 & 2020-50,hxb0d886f01ca2697ce9961232a754bb3923142128,16002.111700000012,100,10,88.70160000000001,255.08670000000006,157.7947,160.02111700000012,0.55431%,1.59408%,0.98609%,1.00000%,YES
2020-49 & 2020-50,hx613b8c58b274bb7c9579ddc3a1a11a5bc1e02c58,16262.746283623295,100,10,1.0,15130.746283623297,1.0,162.62746283623295,0.00615%,93.03931%,0.00615%,1.00000%,NO
2020-49 & 2020-50,hx114049660809114582bfc83f66833560544bf877,1919.696400000002,79,7,19.1635,424.5507,19.171,24.299954430379774,0.99826%,22.11551%,0.99865%,1.26582%,YES
2020-49 & 2020-50,hx049eec5560f8518cffce2ab74fce56ad31fc79c6,7323.880199999999,56,5,1.6433,1071.6487,89.49414999999999,130.78357499999998,0.02244%,14.63225%,1.22195%,1.78571%,YES
2020-49 & 2020-50,hx14c5d80083258bca5146f7c1eecb780ad0c0f930,534.3735999999998,52,5,1.7234,27.5024,9.583300000000001,10.27641538461538,0.32251%,5.14666%,1.79337%,1.92308%,YES
2020-49 & 2020-50,hx1b4e0df6efc52a2b567f6b254353e14c7a2b479f,54639.735100000005,47,4,343.533,8685.4724,463.9852,1162.547555319149,0.62872%,15.89589%,0.84917%,2.12766%,YES
2020-49 & 2020-50,hxd2fe38548f3f4a8c545112582c668913a85d4b93,83018.5333,43,4,27.4703,3055.8755,2000.0,1930.663565116279,0.03309%,3.68096%,2.40910%,2.32558%,YES
2020-49 & 2020-50,hxa5fec8185972595f174e57e41774c28559408a28,318.69767441460004,43,4,2.000000000000014,7.651162790599999,7.651162790599999,7.41157382359535,0.62755%,2.40076%,2.40076%,2.32558%,YES
2020-49 & 2020-50,hxd7d52c9ad84b08757a1d9a95234d6a62849f103a,2210.8405999999995,42,4,19.9258,131.6602,44.2792,52.639061904761896,0.90128%,5.95521%,2.00282%,2.38095%,YES
2020-49 & 2020-50,hxaf0882e1856ba71a69408edea4c244f706ac622e,13326.3747,37,3,72.33589999999998,397.3499,397.3498,360.1722891891892,0.54280%,2.98168%,2.98168%,2.70270%,YES
2020-49 & 2020-50,hxf7680b84aed887350194c26bd98996312020379f,51576.99999999731,37,3,1393.9729729728986,1393.9729729729004,1393.9729729729002,1393.9729729729002,2.70270%,2.70270%,2.70270%,2.70270%,YES
2020-49 & 2020-50,hxa16dc10855a6a7d1c455d324f9c7776ae1290133,244669.5415,34,3,2325.0738,10793.346599999999,7469.421249999999,7196.162985294118,0.95029%,4.41140%,3.05286%,2.94118%,YES
2020-49 & 2020-50,hx42967fdffaacf8b41362b3574d631a17c320ff49,1142.0895,33,3,34.5,38.0895,34.5,34.60877272727273,3.02078%,3.33507%,3.02078%,3.03030%,YES
2020-49 & 2020-50,hxd2b801100a49fb8cdca2df399e14f06b96acafa8,6187.327399999999,31,3,60.3395,809.1919,120.6791,199.5912064516129,0.97521%,13.07821%,1.95042%,3.22581%,YES
2020-49 & 2020-50,hxbfa2e0c0454a1d36d1ed8ccc6ac4d3a333366c47,361.8231,30,3,0.0,220.9751,3.6225,9.779002702702703,0.00000%,61.07269%,1.00118%,2.70270%,YES
2020-49 & 2020-50,hx4238c8c7ff1d53d4f91c9b5460d1ac037f642da4,50493.7999,28,2,0.0,5744.059,1517.9658999999992,1683.1266633333332,0.00000%,11.37577%,3.00624%,3.33333%,YES
2020-49 & 2020-50,hx9a12c867e8bb3d3e731eec1334bbc43f88ca4fad,46810.65749999999,26,2,706.9289,4415.9573,1503.8408000000002,1800.4099038461534,1.51019%,9.43366%,3.21260%,3.84615%,YES
2020-49 & 2020-50,hx64adf776e53d0f30d2c4e90461a043fcc58c04bf,1036.7643,26,2,20.7352,82.9412,41.47055,39.875550000000004,1.99999%,8.00001%,4.00000%,3.84615%,YES
2020-49 & 2020-50,hx7301714168f31c464fd766bad237b9a99c14824c,3029.9643,25,2,103.9943,134.3819,134.3819,121.198572,3.43220%,4.43510%,4.43510%,4.00000%,YES
2020-49 & 2020-50,hxf159b2029f3d6e8823157033ada47b76e8903a4f,630.4624975297266,25,2,1.371961950484824,64.93149732357978,20.76282793422435,25.218499901189066,0.21761%,10.29903%,3.29327%,4.00000%,YES
