IRC Token,holders,liquidity,Amount,No. of Transactions,Price in USD,Value Transferred in USD
bnUSD,9945.0,797348.2175270029,68151.94835287286,849.0,0.9869791654285847,67264.55310765046
BST,362.0,585.6141062626281,4357.404325788911,761.0,1.062544488379775,4629.935950009197
sICX,12135.0,844733.3137831433,235108.95466749812,629.0,0.3365891705445961,79135.12803914024
FRMD,943.0,16223.649628515663,70472.6600103118,611.0,0.009817910209740236,691.8942482227926
$unknown,,,1416.168610176766,217.0,,
BALN,16432.0,260314.36413541847,75492.21777954031,181.0,0.0917094880448387,6923.352643931111
CFT,19419.0,57591.36729204379,202196.96037927136,134.0,0.003534423031090349,714.6495935809595
GBET,2905.0,8054.909485477759,23858.091492193642,120.0,0.0033001224590407997,78.73462356323846
CODE,252.0,8.691002379413897,556051.7064750998,118.0,8.036657417621967e-06,4.468797071424464
CROWN,1250.0,12634.174099033295,142868.39258008043,96.0,0.003936366150100204,562.3823044714558
USDS,5449.0,5481.416773904552,967.3949250542256,77.0,0.8670974865212915,838.8257079879721
IUSDC,5603.0,39673.74637899401,4410.693575,65.0,1.0461124804287472,4614.0815961543885
FIN,2268.0,10499.095539031461,15937.858505721322,62.0,0.06114210020322271,974.4741417815984
OMM,13902.0,21702.18554826811,73016.90974271082,56.0,0.0031540291284926727,230.29746020103036
ETH,146.0,3780.6591747527027,2.5967203332566253,49.0,2443.514685979158,6345.124269693258
BTCB,159.0,16615.609291088473,0.03241071902187332,35.0,41631.79885470729,1349.3165350550655
XCROWN,1250.0,12634.174099033295,26507.107064889788,7.0,0.003936366150100204,104.34167898731414
IAM,4065.0,10.791607535044376,464.2287264472622,6.0,0.013229891368403433,6.141695620989553
oICX,12135.0,844733.3137831433,10271.265638534698,4.0,0.3365891705445961,3457.196781717605
IUSDT,3481.0,22.184441717372984,0.054535999999999994,4.0,0.8072079817868896,0.044021894494729805
finMICX,12135.0,844733.3137831433,1.962024395569908,3.0,0.3365891705445961,0.6603961638931378
sARCH,6.0,3.1570589293575204,1.4311655503535745,3.0,0.17197824433334263,0.24612933870016981
dUSDS,5449.0,5481.416773904552,123.93053975925699,2.0,0.8670974865212915,107.45985952847872
dbnUSD,9945.0,797348.2175270029,72.01585609790688,2.0,0.9869791654285847,71.07814954913718
METX,11418.0,1130.3945532385478,14.385473264473166,2.0,5.3020902293927796e-05,0.0007627307724075423
oIUSDC,5603.0,39673.74637899401,2.167166,2.0,1.0461124804287472,2.267099399760846
oUSDS,5449.0,5481.416773904552,0.9273741525792277,2.0,0.8670974865212915,0.804123796766261
CLAW,540.0,1443.990661333872,212000.0,2.0,4.067944963637134e-05,8.624043322910724
NPT,465.0,0.9937815382276739,85.8,1.0,0.00019206962944007605,0.016479574205958525
ICX,,,,,0.2739,
