validator,validator_name,cum_votes_update
hxf5a52d659df00ef0517921647516daaf7502a728,binance node,53083218.68987129
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,37894154.02886286
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,22886267.50454515
hx3d5c3ce7554f4d762f6396e53b2c5de07074ec39,ICON DAO,18966786.60731468
hx9121c5914ce34f59de52fe15efd6f7982c2ab8ae,ICON Asset Management,18884199.65137347
hx231a795d1c719b9edf35c46b9daa4e0b5a1e83aa,iBriz - ICONOsphere,17416877.29814141
hx28c08b299995a88756af64374e13db2240bc3142,PARROT9,17297658.69044562
hx9780bfcd8d33c50f56e37f5b27313433c28eb8d8,Stakin,14073817.34891709
hxfc56203484921c3b7a4dee9579d8614d8c8daaf5,Geometry Labs,14018525.16408547
hxbc9c73670c79e8f6f8060551a792c2cf29a8c491,MouseBelt | Multi.io,13972858.90577856
hxff6437443e7ed76d2d7f97f0d28d7ae1071bd0bb,Spartan Node,13144928.57092597
hx262afdeda4eba10fe41fa5ef21796ac2bdcc6629,ICONation,8071738.73600611
hxd0d9b0fee857de26fd1e8b15209ca15b14b851b2,VELIC,7706393.70850011
hxdc35f82a3a943e040ae2b9ab2baa2118781b2bc9,Mineable,7367679.80838464
hxd5059fec8665bc7b769f4893aef65cf00049377a,ICON Hyperconnect,7087470.86295218
hxe4c008b838e8a9a7c065f20f393974de4c86f917,ReliantNode,6223114.16378809
hx54d6f19c3d16b2ef23c09c885ca1ba776aaa80e2,Ubik Capital,6142647.27217163
hx4a43790d44b07909d20fbcc233548fc80f7a4067,RHIZOME,5600719.23070405
hxf08bd5835fdb53dc7c764a5f4dd4e2e6359324e8,Metanyx,5261155.83095144
hxb11448743cbb63fcf29609401cdc5782793be211,ICONbet Community,4921214.15105855
hx0a72c03881451a6270d4895f756085470fc311e4,ICON Pinas,4680141.46362914
hx8e6dcffdf06f850af5d372ac96389135e17d56d3,Everstake,4624944.83388276
hx6f89b2c25c15f6294c79810221753131067ed3f8,Staky.io (ex Sharpn),4569034.04082678
hx5cb1e6d96eb1db986cee37a0a23a796de802a4bc,Atomic Wallet,4555019.74334614
hx70f9a54bccc5295e4adecbe98d9a291bef4ff9a9,ICON Forge,4081757.21354468
