validator,validator_name,cum_votes_update
hx2cf560d42b3b505314c526336dad5d1f624bdb1f,Blockchain at Berkeley,606143.30694574
hx21a916b7a01b900861ca3f3b7ac76ba316169f8c,ICON Slovenia,596627.22417761
hx554ea6c0c56e6f30682dcaa79a326da3a364899f,UNBLOCK {ICX GROWTH INCUBATOR},595958.01758819
hxdcff7a1ab76ba34a9e3c85b0f1e7b2bf436ac024,Staked,595882.21030385
hx11434d1fce3edecf0e84a9c992a712f0cebf6992,icon-node-NL,589236.16043628
hxdb0266079cb558e14b41ad7125b729c2c96b2d36,Midos / EPICX,587258.85059796
hx004783f10b0bd56764535cf931650dfe6d42cd9e,DELIGHT,586148.82774517
hx9571df0bd727ce18adc177e8fd6bc45f885b3382,Newroad,551598.41075955
hxc5e0b88cb9092bbd8b004a517996139334752f62,Foundry Box Media,547618.97661908
hx6fefe6d0174357ba1c8f086a54ab1b277064e65f,TEMPO,518290.57425456
hx35760c56a8e3942a3e4e5cc2ba78b18502b4f421,FOMO MASTERNODE,511782.81249303
hx69d49e8365659d7771f7e721d7f9b04367212557,ICON 4 ALL,487713.98757846
hxa615b432cb84c3f2ed22194b32df317b474ec2c9,HOLA ICON,455380.62175602
hx54ebaf568d1d3e61a4ff7d648d3e5cb7ff6179ce,ICON Spark,434176.55321869
hxbf0f9646b09b0e0943ed768795c0d6c32a758d35,ICON USA,393885.28680746
hxf680ae11372c48afebbce77c9d8de455e1acc18a,ICONFi,385601.73869295
hx0315df35eef97e1e73f1a72b1e78ff7f28ba3176,Blockheads Development,350364.20633199
hxc93a0be07e8a74d9a86d8b12e569b91154681bc8,Signal9,336535.15636201
hx35a0a985a9abd8cbbc71bec1aba74ca204369c8a,RemICX,335544.10780891
hx8d7f98f88560fc957d410afb53c5b269bebc8799,icxpromotions,331796.97448528
hxd19d4bc5a9eef4e044d83abc82d903ac80504ac8,ICON BOOM,326125.57989608
hxe886f81684bbecddd69a608093fb88624c94d20a,POCKET / FIGMENT,293034.1696844
hxe0df49d9382805d4dfa24487e8ef31165fe782c0,loop57,283408.30929251
hxca60d4371ad90d624dc7119f81009d799c168aa1,devshack,275695.10108703
hx05493cc93caf332f46715411e12c927750d210b6,ICX Malta,249031.11096725
hxfbddc0f1c0ab85e59578de4b883cdcf94ab33694,Bara-Node,234379.67439713
hx5f4e22b12f50da1927660eaafb87aa8a1bc91610,ICON WHALE,220621.39716711
hx55d5b995fca77274cab59c850803f9ec3e00421f,Orangebloc,207873.88932831
hxd00b8fe10deb49aa291a9b2cb460779fc622fa12,ICON4Education,206151.60680205
hx3571351614f64721081996247e53f6436ed05e55,ICONNECT-Global,151437.57302411
hxa19a398f4941abed1d0af82fb2f6081b76f29107,A_Block,137730.90427849
hx8e882ac085ca90e5ef19364ffda6646acceed3b8,Icon Panda,129140.54672074
hxf85e4d956f1dfad8d713421ab58b24863c28b28a,DRAICON BALL,127513.44162464
hxadad43bd60785979ed2ecea55df1eb8049162b04,Gilga Capital (NEW - LETS GROW ICON),91808.30513945
hx42805d6c22012d5bd56cdab423da9fde5850622f,Noris,88333.3311
hx77b13a82be3a1bd2a71dd389bdfa624a59e8ff2b,InfStones,88248.46418077
hxc1717a36b5288b92586b93d3c20f247b2bab1a26,ICONPool,87374.23932523
hx2571420b7d3977611cea1d1646579aeef2fb6dfa,HypoICON,83583.88378467
hx2f8b9e265975bd6d99c6ea45219105174e8674d8,iconic innovation,75390.89318613
hxa1c5965588ea0615e64313a770c20b069033db7b,OZYS node,74452.86102034
hxecf2a15a708dde0cf35aedb22344bd0fe0f88f98,manifest-icon,72307.8276293
hx1be230522449d87274fa8f326fed22e3cacfe4c0,ICON Thailand,70861.98964455
hx800853ad662997466bd41653329ba97a2ed1f838,ICON Econ,70335.04366916
hxd5ff5a97308534af8234bfe78fd979e74d9f2920,X-node,66147.53302205
hx6f09a1d35ea1f22467df4f0d04a78b4422dcd30e,FOCUS,63740.87833742
hxd243919468353a59250114d3ea891de8486f37c0,Iconserve,60692.3186247
hxc7a057d0cbb75606352ec8cc698267b7247cc100,Cardinal,55322.41782889
hxd17cc393d0b0a59f0a03e4fb4ac1ab196743162f,Hermes Greece,52709.76422375
hxa224bb59e9ba930f3919b57feef7656f1139d24b,Catalyst,46652.20575862
hx29fbc9cfb184d75d74cab33c70820a696998b596,NODE HODLER,43471.5000543
hx352a4b557e9035f89b237fe85d6bb92f517fdbd7,Hourglass,42919.55379958
hx5ac1e54766ae2e3340e0a6579c2ccde8b766cd76,Progression,41882.77424008
hxa83c659bcebca1c6cbf9a94477a7005d09461569,ICXmerch,41241.84738561
hx6deee24065b8fa75298b0a22c5a221e2587ba09d,Sunrise,38451.12945945
hxe36c036b294cd8a7dc511d7f58c541cdc93704bb,ICONSG,38316.53856872
hxfe9a226b2910584cebd9596e4effd8a8c0e3e039,Nodeasy.com,32508.82579138
