validator,validator_name,cum_votes_update
hxf5a52d659df00ef0517921647516daaf7502a728,binance node,52933690.44056358
hx0b047c751658f7ce1b2595da34d57a0e7dad357d,ICON Foundation,37446475.53307182
hxfba37e91ccc13ec1dab115811f73e429cde44d48,ICX_Station,25099004.457435
hx231a795d1c719b9edf35c46b9daa4e0b5a1e83aa,ICONOsphere,19285080.53608263
hx28c08b299995a88756af64374e13db2240bc3142,PARROT9,18121351.44930157
hx9121c5914ce34f59de52fe15efd6f7982c2ab8ae,ICON Asset Management,16938332.3742326
hxf680ae11372c48afebbce77c9d8de455e1acc18a,ICONFi,15629150.87657916
hxff6437443e7ed76d2d7f97f0d28d7ae1071bd0bb,Spartan Node,11748913.55215965
hx3d5c3ce7554f4d762f6396e53b2c5de07074ec39,ICON DAO,11599791.70642768
hx2bbb1b0300f5dc0caa0e1a3ba1701a22e7590763,Protokol7,8173064.88832532
hx8e6dcffdf06f850af5d372ac96389135e17d56d3,Everstake,8133312.26915843
hxe4c008b838e8a9a7c065f20f393974de4c86f917,ReliantNode,7979569.84136568
hxb11448743cbb63fcf29609401cdc5782793be211,ICONbet Community,7903004.98579311
hx4a43790d44b07909d20fbcc233548fc80f7a4067,RHIZOME,7248273.98916485
hx262afdeda4eba10fe41fa5ef21796ac2bdcc6629,ICONation,7151572.71828323
hxf08bd5835fdb53dc7c764a5f4dd4e2e6359324e8,Metanyx,6792006.36205168
hx6f89b2c25c15f6294c79810221753131067ed3f8,Staky.io (ex Sharpn),6744648.21557164
hxfc56203484921c3b7a4dee9579d8614d8c8daaf5,Geometry Labs,6508617.76417648
hxbc9c73670c79e8f6f8060551a792c2cf29a8c491,MouseBelt | Multi.io,6496713.72459539
hx3499cbe7a9c81b412243cac8c4e163d2e4ccb20c,Trustseers,6090563.79883451
hxd0d9b0fee857de26fd1e8b15209ca15b14b851b2,VELIC,5750357.95490949
hx9780bfcd8d33c50f56e37f5b27313433c28eb8d8,Stakin,5619864.93026747
hx3c58970034d5a923aa95058365450feed28979a2,GangstaBet,5534602.03887534
hxd5059fec8665bc7b769f4893aef65cf00049377a,ICON Hyperconnect,4379176.55763926
hx5cb1e6d96eb1db986cee37a0a23a796de802a4bc,Atomic Wallet,4294968.70062105
hxdc35f82a3a943e040ae2b9ab2baa2118781b2bc9,Mineable,4187727.75228581
hx54d6f19c3d16b2ef23c09c885ca1ba776aaa80e2,Ubik Capital,4123934.53340781
hx0a72c03881451a6270d4895f756085470fc311e4,ICON Pinas,3929695.54650984
hx8d7f98f88560fc957d410afb53c5b269bebc8799,Arcade Node,3816583.87967226
hx099b1e6b271bc6cd67d930a1c62ee5f3ed0e2c7d,NEOPLY,3243128.55142862
hx31c429608c74501de13df5fea30bf1674460be50,HugoByte,3031193.01850399
hx70f9a54bccc5295e4adecbe98d9a291bef4ff9a9,ICON Forge,2874438.75979362
hxe8767c80a009c7bb8344d81c430144463cbb325e,ICONTROL,2479668.39567809
hxaf33a0c15dbf52b76590422cbb7e2d835034cdf6,Plan-P,2425924.14961683
hxc453700b9bd823d7f7175808a0986c0e3a45f2b4,InterBlock,2386703.98504962
