IRC Token,Amount,No. of Transactions
OMM,4385687.484571356,25232
sICX,12911668.687558321,16013
IUSDC,11021502.093991,12993
bnUSD,5401539.412164785,10446
BALN,946632.6107761319,8116
USDS,6514507.803780647,4758
LDX,421283.453125,3356
oIUSDC,3329569.547163,3048
PGT,4680.3219230387795,2078
oICX,4391172.591231311,1200
oUSDS,1874440.1962532096,1014
METX,968604.7237872086,856
dUSDS,1624723.631987731,392
dIUSDC,2017343.1655289999,367
UP,752.9011587983864,135
SEED,8322.046947,67
TAP,2188877.095220116,63
EPX,58.78613000000001,9
ICXIOU,6298.3096472,8
ACT,400.0,4
IAM,1005.2602,2
IETH,4.73820800262e-05,1
HGC,500.0,1
uMETX,0.0735127434029908,1
uTAP,8382.237115589607,1
