IRC Token,Amount,No. of Transactions
sICX,4454540.114393893,4979
bnUSD,3857654.5628861547,3713
LDX,415956.38671875,3220
BALN,523090.32899436326,3111
OMM,1854040.5118042973,2628
METX,2231481.046501544,1350
IUSDC,704725.2058850001,1178
CFT,1390672.3495525445,857
USDS,1601930.7670888703,825
GBET,71072.0,261
oIUSDC,200476.074316,195
oICX,705514.632740752,181
obnUSD,539784.1046335312,99
oUSDS,604472.7631948533,87
IUSDT,6349.56272,79
TAP,690816.5991011838,48
dbnUSD,600789.514105426,47
dIUSDC,32176.810978,45
dUSDS,86230.61665961005,44
UP,1.8748809902740364,27
ACT,200.0,2
