IRC Token,Amount,No. of Transactions
bnUSD,4913188.782350475,9519
sICX,20440126.714589164,8739
OMM,4292944.133975122,5355
IUSDC,3939349.248082,3939
METX,9761340.226235548,3422
USDS,6256752.507261821,3087
BALN,502827.044222896,2899
IWIN,229391.5146,2213
CFT,150605.53324487462,727
PGT,3000.00224154277,602
GBET,331873.0,505
oUSDS,2039125.997162596,366
oIUSDC,739126.6888939999,364
dIUSDC,451388.885243,290
oICX,503808.96926174883,258
UP,5.885296296628993,174
dUSDS,1006507.5867348758,133
SEED,422.723716,87
TAP,1121288.1508872171,57
LDX,1788.0,10
uMETX,173.98515643071977,2
ACT,200.0,2
HGC,20500.0,2
EPX,123.81,1
uUP,0.0176837037351348,1
