delegator,biweek,how_many_prep_voted,raffle_tickets
hx93f780635e8eceb569c8ac44cdcb88eb4c5c39b3,2021-05 & 2021-06,100,10
hxb09866aadc6d5b5e9c2c222f4419fa02e34939a9,2021-05 & 2021-06,100,10
hxb0d886f01ca2697ce9961232a754bb3923142128,2021-05 & 2021-06,100,10
hxb0d886f01ca2697ce9961232a754bb3923142128,2021-05 & 2021-06,100,10
hxb0d886f01ca2697ce9961232a754bb3923142128,2021-05 & 2021-06,100,10
hxb09866aadc6d5b5e9c2c222f4419fa02e34939a9,2021-05 & 2021-06,100,10
hxb09866aadc6d5b5e9c2c222f4419fa02e34939a9,2021-05 & 2021-06,100,10
hxb09866aadc6d5b5e9c2c222f4419fa02e34939a9,2021-05 & 2021-06,100,10
hxb09866aadc6d5b5e9c2c222f4419fa02e34939a9,2021-05 & 2021-06,100,10
hxb09866aadc6d5b5e9c2c222f4419fa02e34939a9,2021-05 & 2021-06,100,10
hxb09866aadc6d5b5e9c2c222f4419fa02e34939a9,2021-05 & 2021-06,100,10
hxb09866aadc6d5b5e9c2c222f4419fa02e34939a9,2021-05 & 2021-06,100,10
hxb09866aadc6d5b5e9c2c222f4419fa02e34939a9,2021-05 & 2021-06,100,10
hxb0d886f01ca2697ce9961232a754bb3923142128,2021-05 & 2021-06,100,10
hxb09866aadc6d5b5e9c2c222f4419fa02e34939a9,2021-05 & 2021-06,100,10
hxc505466cc0a61e6e7ec7fb0a0dc0316d606ff63f,2021-05 & 2021-06,100,10
hxa16dc10855a6a7d1c455d324f9c7776ae1290133,2021-05 & 2021-06,100,10
hxa16dc10855a6a7d1c455d324f9c7776ae1290133,2021-05 & 2021-06,100,10
hxa16dc10855a6a7d1c455d324f9c7776ae1290133,2021-05 & 2021-06,100,10
hxa16dc10855a6a7d1c455d324f9c7776ae1290133,2021-05 & 2021-06,100,10
hxa16dc10855a6a7d1c455d324f9c7776ae1290133,2021-05 & 2021-06,100,10
hxa16dc10855a6a7d1c455d324f9c7776ae1290133,2021-05 & 2021-06,100,10
hxa16dc10855a6a7d1c455d324f9c7776ae1290133,2021-05 & 2021-06,100,10
hxa16dc10855a6a7d1c455d324f9c7776ae1290133,2021-05 & 2021-06,100,10
hxb0d886f01ca2697ce9961232a754bb3923142128,2021-05 & 2021-06,100,10
hxb0d886f01ca2697ce9961232a754bb3923142128,2021-05 & 2021-06,100,10
hxa16dc10855a6a7d1c455d324f9c7776ae1290133,2021-05 & 2021-06,100,10
hx1b4e0df6efc52a2b567f6b254353e14c7a2b479f,2021-05 & 2021-06,100,10
hxc505466cc0a61e6e7ec7fb0a0dc0316d606ff63f,2021-05 & 2021-06,100,10
hxc505466cc0a61e6e7ec7fb0a0dc0316d606ff63f,2021-05 & 2021-06,100,10
hxc505466cc0a61e6e7ec7fb0a0dc0316d606ff63f,2021-05 & 2021-06,100,10
hxc505466cc0a61e6e7ec7fb0a0dc0316d606ff63f,2021-05 & 2021-06,100,10
hxc505466cc0a61e6e7ec7fb0a0dc0316d606ff63f,2021-05 & 2021-06,100,10
hxc505466cc0a61e6e7ec7fb0a0dc0316d606ff63f,2021-05 & 2021-06,100,10
hxc505466cc0a61e6e7ec7fb0a0dc0316d606ff63f,2021-05 & 2021-06,100,10
hxc505466cc0a61e6e7ec7fb0a0dc0316d606ff63f,2021-05 & 2021-06,100,10
hx93f780635e8eceb569c8ac44cdcb88eb4c5c39b3,2021-05 & 2021-06,100,10
hx1b4e0df6efc52a2b567f6b254353e14c7a2b479f,2021-05 & 2021-06,100,10
hx1b4e0df6efc52a2b567f6b254353e14c7a2b479f,2021-05 & 2021-06,100,10
hxb0d886f01ca2697ce9961232a754bb3923142128,2021-05 & 2021-06,100,10
hx1b4e0df6efc52a2b567f6b254353e14c7a2b479f,2021-05 & 2021-06,100,10
hx1b4e0df6efc52a2b567f6b254353e14c7a2b479f,2021-05 & 2021-06,100,10
hx1b4e0df6efc52a2b567f6b254353e14c7a2b479f,2021-05 & 2021-06,100,10
hx1b4e0df6efc52a2b567f6b254353e14c7a2b479f,2021-05 & 2021-06,100,10
hx1b4e0df6efc52a2b567f6b254353e14c7a2b479f,2021-05 & 2021-06,100,10
hx1b4e0df6efc52a2b567f6b254353e14c7a2b479f,2021-05 & 2021-06,100,10
hx1b4e0df6efc52a2b567f6b254353e14c7a2b479f,2021-05 & 2021-06,100,10
hxb0d886f01ca2697ce9961232a754bb3923142128,2021-05 & 2021-06,100,10
hxb0d886f01ca2697ce9961232a754bb3923142128,2021-05 & 2021-06,100,10
hxb0d886f01ca2697ce9961232a754bb3923142128,2021-05 & 2021-06,100,10
