IRC Token,Amount,No. of Transactions
OMM,4844378.771413307,22178
sICX,10867850.979687354,16233
IUSDC,11526764.676327,14063
bnUSD,7704519.037618155,13037
BALN,1383097.2091363186,7791
USDS,4274932.482005547,4144
LDX,418808.0390625,3337
oIUSDC,2946052.50989,2946
PGT,3005.0041950566338,1023
oICX,2332602.8507968406,934
METX,352041.96922568546,830
oUSDS,1284904.3133062178,793
dIUSDC,1751295.538075,456
dUSDS,900982.1678858615,380
UP,2.332044760312815,100
TAP,686707.902681599,76
SEED,163.6608,51
ACT,1000.0,10
ICXIOU,4792.231622,3
IAM,2942.843841436071,2
EPX,1.04,2
HGC,500.0,1
