date,marketCap,icxCirculation,icxSupply,publicTreasury,iglobal
2020-10-09,218048738.0,568772038.0,859444729.0,7394502.0,
2020-10-10,227158932.0,568909982.0,859583041.0,7460381.0,
2020-10-11,227262929.0,569048510.0,859721568.0,7540541.0,
2020-10-12,230281754.0,569185017.0,859859740.0,7552983.0,
2020-10-13,236671836.0,569321039.0,859997759.0,7549149.0,
2020-10-14,233623992.0,569525172.0,860203643.0,7589645.0,
2020-10-15,223060486.0,569594035.0,860272506.0,7572833.0,
2020-10-16,215861516.0,569730979.0,860411174.0,7540122.0,
2020-10-17,209843186.0,569869647.0,860550044.0,7590906.0,
2020-10-18,217709650.0,570007149.0,860688774.0,7635194.0,
2020-10-19,219942811.0,570179393.0,860862471.0,7708238.0,
2020-10-20,216168687.0,570283280.0,860966732.0,7735291.0,
2020-10-21,208381810.0,570420923.0,861105675.0,7791193.0,
2020-10-22,217345434.0,570558098.0,861244203.0,7803490.0,
2020-10-23,224091622.0,570695793.0,861382984.0,7838144.0,
2020-10-24,211451816.0,570832482.0,861521861.0,7851402.0,
2020-10-25,215659087.0,570969341.0,861660626.0,7927292.0,
2020-10-26,210888334.0,571107427.0,861799261.0,7957983.0,
2020-10-27,201266642.0,571420602.0,861938026.0,8012497.0,
2020-10-28,206783852.0,571557270.0,862076448.0,8087000.0,
2020-10-29,193332688.0,571694640.0,862215196.0,8082831.0,
2020-10-30,192703888.0,571832747.0,862353956.0,8123144.0,
2020-10-31,179647968.0,571928227.0,862450678.0,7981478.0,
2020-11-01,182599029.0,572107249.0,862631878.0,7893292.0,
2020-11-02,186828823.0,572244529.0,862770712.0,7857706.0,
2020-11-03,184581969.0,572382949.0,862909921.0,7871557.0,
2020-11-04,182587286.0,572521056.0,863049225.0,7926194.0,
2020-11-05,178271068.0,572658397.0,863188047.0,7943102.0,
2020-11-06,179034174.0,572795856.0,863327115.0,7833296.0,
2020-11-07,196686457.0,572932852.0,863466291.0,7868416.0,
2020-11-08,195039541.0,573070774.0,863605330.0,7906645.0,
2020-11-09,195708241.0,573208600.0,863744426.0,7908669.0,
2020-11-10,189504253.0,573346414.0,863883659.0,7888977.0,
2020-11-11,195297647.0,572068274.0,864023567.0,6343641.0,
