IRC Token,Amount,No. of Transactions,Price in USD,Value Transferred in USD
sICX,2541764.4782771915,2884.0,0.8703663265091683,2212266.211809612
bnUSD,1621105.8825652977,2471.0,1.000373040592705,1621710.6208645673
GBET,269931.62524234364,1611.0,0.11316336190246276,30546.370196219286
BALN,309001.360641692,1379.0,0.6051943915817549,187005.89045148322
METX,948667.0057013859,910.0,0.000556299794995744,527.7432607909074
OMM,1370018.3922806298,900.0,0.06804313507792996,93220.34652519933
FIN,30047.73208520135,717.0,2.2110357745955382,66436.61058584238
TAP,3280591.2796915653,391.0,0.0015231840081625383,4996.944174543669
UP,3.69507762645294,356.0,2.3566989887048786,8.708185705447667
CFT,839749.8413601192,300.0,0.03801177807219145,31920.384605938827
USDS,291980.0496572885,267.0,1.002282155905946,292646.39365203225
finOMM,65972.9845591082,180.0,2.2110357745955382,145868.62901702727
IUSDC,45377.568462,170.0,0.9996226303448356,45360.4443446373
oICX,540417.3599458842,105.0,0.8703663265091683,470361.0723578822
obnUSD,357500.13965963386,58.0,1.000373040592705,357633.5017236246
oUSDS,92520.35208358346,33.0,1.002282155905946,92731.49795151122
dbnUSD,53459.60729937506,33.0,1.000373040592705,53479.54990296779
oOMM,49103.87,24.0,0.06804313507792996,3341.1812592591127
finICX,60902.830137773366,13.0,2.2110357745955382,134658.33620873222
IAM,439.16381115051723,13.0,,
IUSDT,52.321042999999996,11.0,1.0012477356450047,52.38632583033492
oIUSDC,11632.184603,10.0,0.9996226303448356,11627.794969507557
dUSDS,5145.877523686331,10.0,1.002282155905946,5157.621218468287
finOICX,1804.8855812943762,8.0,2.2110357745955382,3990.6665892935293
LDX,4000.0,6.0,,
oBALN,23007.95094722548,4.0,0.6051943915817549,13924.282875048986
dIUSDC,9.679343,2.0,0.9996226303448356,9.675690309669871
MINT,100.00000000000001,2.0,,
SEED,109.661425,1.0,0.00726765788294897,0.7969817198566672
uTAP,92978.61253543256,1.0,0.0015231840081625383,141.62353571511179
ICX,,,0.79603874,
