IRC Token,Amount,No. of Transactions
sICX,4860329.42010234,4081
bnUSD,3117064.66706897,3741
OMM,1648401.5945262336,3377
BALN,888932.0194803223,2859
IUSDC,1663262.615465,1895
USDS,1008499.5393692852,1871
METX,719620.7553298865,1672
IUSDT,38861.967801,691
CFT,36325.9619827442,643
GBET,94937.0,241
oUSDS,339282.76484818314,229
oICX,381729.276987736,222
oIUSDC,591686.473231,199
dIUSDC,135376.575818,137
dUSDS,82098.1509460761,81
TAP,228726.41655340532,42
UP,0.2251612081200743,34
SEED,4.810545,16
ACT,600.0,6
LDX,1500.0,3
EPX,8.19,3
IAM,208.72274998415608,2
PGT,795.8979075123581,1
ICXIOU,76.80712,1
uMETX,41.41327946470989,1
