P-Reps,stagnant_voter_count,total_voter_count,stagnant_votes,prep_total_votes,included_network_total_votes,current_network_total_votes,prep_ranking,extraction_date
ICON Foundation,4180,5984,33386936.92937354,48288300.61064643,316120137.40910536,316124573.67260545,1,2020-10-02
ICX_Station,3941,4892,15332771.029148981,20238489.426611397,316120137.40910536,316124573.67260545,2,2020-10-02
VELIC,3195,3897,14836815.665858824,17845040.887166195,316120137.40910536,316124573.67260545,3,2020-10-02
Ubik Capital,3121,3771,10136782.169249317,14408727.804043753,316120137.40910536,316124573.67260545,4,2020-10-02
ICONation,3237,4063,8435444.840317033,14079456.811856534,316120137.40910536,316124573.67260545,5,2020-10-02
RHIZOME,2491,3123,7652820.935532231,12249764.410052573,316120137.40910536,316124573.67260545,6,2020-10-02
ICON Hyperconnect,802,1338,3783177.3140522814,11527997.24486177,316120137.40910536,316124573.67260545,7,2020-10-02
ICONbet Community,308,619,2132451.86107949,9129966.31887091,316120137.40910536,316124573.67260545,8,2020-10-02
Symmetry SLC,767,944,8576032.209406896,8997834.452935483,316120137.40910536,316124573.67260545,9,2020-10-02
NEOPLY,81,219,8114172.072328618,8503098.598343566,316120137.40910536,316124573.67260545,10,2020-10-02
Mineable,1266,1726,4432566.046966448,7146314.0586655885,316120137.40910536,316124573.67260545,11,2020-10-02
Everstake,739,1029,3965247.3642772813,6434215.484581085,316120137.40910536,316124573.67260545,12,2020-10-02
weBloc asia,1234,1486,5321638.038096002,6329000.529785882,316120137.40910536,316124573.67260545,13,2020-10-02
ICON DAO,608,908,2870199.7880642433,6317373.0615797825,316120137.40910536,316124573.67260545,14,2020-10-02
Stakin,919,1142,3646360.753187624,5972455.075327234,316120137.40910536,316124573.67260545,15,2020-10-02
ReliantNode,348,570,3489479.9426292907,5391562.470565856,316120137.40910536,316124573.67260545,16,2020-10-02
iBriz - ICONOsphere,228,358,2282167.7110740454,5230838.021712879,316120137.40910536,316124573.67260545,17,2020-10-02
ICONVIET,773,990,2394896.9530251464,5209360.243786513,316120137.40910536,316124573.67260545,18,2020-10-02
block42,529,740,2273259.6203811034,5165632.490616519,316120137.40910536,316124573.67260545,19,2020-10-02
ICONPLUS,228,456,2370226.2054769495,5034265.101534503,316120137.40910536,316124573.67260545,20,2020-10-02
Citadel.one,875,1035,3993671.3741293233,4394080.356240596,316120137.40910536,316124573.67260545,21,2020-10-02
Blockmove,308,464,2259141.491402326,4278054.163140547,316120137.40910536,316124573.67260545,22,2020-10-02
PARROT9,193,304,2051702.3301734685,4176286.7128281705,316120137.40910536,316124573.67260545,23,2020-10-02
Icon Pilipinas,125,297,1891941.3820630813,3628887.7065870594,316120137.40910536,316124573.67260545,24,2020-10-02
InterBlock,200,290,1980396.8952929266,3522467.026423977,316120137.40910536,316124573.67260545,25,2020-10-02
Sharpn,404,498,2567997.2289035744,3063643.5155087323,316120137.40910536,316124573.67260545,26,2020-10-02
Insight,325,396,1606409.5409610285,3052173.082566503,316120137.40910536,316124573.67260545,27,2020-10-02
Deblock with STAYGE,362,418,2728590.121246794,2979088.419124261,316120137.40910536,316124573.67260545,28,2020-10-02
ICON Forge,69,140,2304090.460425825,2759798.0674114935,316120137.40910536,316124573.67260545,29,2020-10-02
Catalyst,149,178,233936.50634229634,2730183.486321067,316120137.40910536,316124573.67260545,30,2020-10-02
ICONologist,109,178,897125.3341665731,2262952.999720342,316120137.40910536,316124573.67260545,31,2020-10-02
ICONTROL,28,65,1730284.6417615302,2153424.462893924,316120137.40910536,316124573.67260545,32,2020-10-02
Transform Group,15,51,512171.2460492213,1950182.3486783202,316120137.40910536,316124573.67260545,33,2020-10-02
Bara-Node,33,40,21551.765909469996,1879750.34120947,316120137.40910536,316124573.67260545,34,2020-10-02
MouseBelt | Multi.io,166,189,1415182.9765539586,1826299.7186924198,316120137.40910536,316124573.67260545,35,2020-10-02
MinerGate,133,160,1499706.9033633883,1826292.4396624982,316120137.40910536,316124573.67260545,36,2020-10-02
Orangebloc,29,42,1773039.102798463,1778666.8289984632,316120137.40910536,316124573.67260545,37,2020-10-02
Midos,32,76,445651.72678893956,1703042.2116229504,316120137.40910536,316124573.67260545,38,2020-10-02
Iconoscope,73,96,55411.08000163381,1679828.6292086293,316120137.40910536,316124573.67260545,39,2020-10-02
Piconbello,123,167,1306804.4825536837,1679503.533150074,316120137.40910536,316124573.67260545,40,2020-10-02
Hourglass,24,45,1571744.6732,1586197.8336789336,316120137.40910536,316124573.67260545,41,2020-10-02
ICON Sweden,406,503,1081999.032482412,1534879.9508843163,316120137.40910536,316124573.67260545,42,2020-10-02
Cardinal,29,46,1500554.8219259996,1532478.6305869215,316120137.40910536,316124573.67260545,43,2020-10-02
DEMOS,101,135,1146372.5418,1357249.2984118052,316120137.40910536,316124573.67260545,44,2020-10-02
OneLife 9to5,25,41,30922.80762138044,1221206.2595591045,316120137.40910536,316124573.67260545,45,2020-10-02
Yudus Lab,8,18,1188598.2255,1192102.4935995252,316120137.40910536,316124573.67260545,46,2020-10-02
ICON Labs,118,185,405993.527692769,1077899.2765326232,316120137.40910536,316124573.67260545,47,2020-10-02
StakingTeam,133,183,547777.7782648962,1066814.8310384436,316120137.40910536,316124573.67260545,48,2020-10-02
Silicon Valley ICON,98,147,241884.60291375514,1044119.4596976493,316120137.40910536,316124573.67260545,49,2020-10-02
Chainode Tech,183,220,848338.6844355947,1009417.3895857604,316120137.40910536,316124573.67260545,50,2020-10-02
Newroad,221,267,813959.6267524324,959040.5868792819,316120137.40910536,316124573.67260545,51,2020-10-02
ICONNECT-Global,105,145,786845.6111875967,926199.6605883132,316120137.40910536,316124573.67260545,52,2020-10-02
Metanyx,106,150,783138.5567953464,921995.6639998748,316120137.40910536,316124573.67260545,53,2020-10-02
Blockchain at Berkeley,251,317,665101.5887869515,897404.3129898888,316120137.40910536,316124573.67260545,54,2020-10-02
ICX_Stratos,34,47,884319.2735836301,892786.1246743322,316120137.40910536,316124573.67260545,55,2020-10-02
ICX Australia,327,397,680086.5833195505,854185.7166478569,316120137.40910536,316124573.67260545,56,2020-10-02
HOLA ICON,56,102,545835.1185922547,780861.5909956769,316120137.40910536,316124573.67260545,57,2020-10-02
ICX Belgium,67,111,90724.21717160568,758227.4364030302,316120137.40910536,316124573.67260545,58,2020-10-02
Alice,34,50,26848.183025852868,756488.072121853,316120137.40910536,316124573.67260545,59,2020-10-02
RHYTHM (Australia),48,81,174778.73557315476,741177.5216022608,316120137.40910536,316124573.67260545,60,2020-10-02
iconic innovation,67,94,469663.938541497,700596.2269716077,316120137.40910536,316124573.67260545,61,2020-10-02
Progression,31,52,35454.05215068879,683131.2556703115,316120137.40910536,316124573.67260545,62,2020-10-02
ICON Russia,32,61,635431.3108987069,662328.7481354601,316120137.40910536,316124573.67260545,63,2020-10-02
Signal9,307,359,461924.27656462596,658363.909956371,316120137.40910536,316124573.67260545,64,2020-10-02
ICON Chicago,71,108,513899.2295547922,620477.9793790568,316120137.40910536,316124573.67260545,65,2020-10-02
Hermes Greece,32,63,230182.1103934163,611532.740207343,316120137.40910536,316124573.67260545,66,2020-10-02
The Iconist,136,216,495994.23978350166,588086.9676560129,316120137.40910536,316124573.67260545,67,2020-10-02
ICX Malta,33,59,32673.38676801878,579511.5384339726,316120137.40910536,316124573.67260545,68,2020-10-02
Foundry Box Media,57,93,378520.02796985663,577023.9287700587,316120137.40910536,316124573.67260545,69,2020-10-02
POCKET / FIGMENT,180,213,508258.5399933381,554902.8962149463,316120137.40910536,316124573.67260545,70,2020-10-02
Espanicon,54,89,250920.70059042392,518563.61301275564,316120137.40910536,316124573.67260545,71,2020-10-02
ICON4Education,67,111,171387.13012428748,495439.55633574456,316120137.40910536,316124573.67260545,72,2020-10-02
ICON Spark,58,90,35646.94083317736,475398.64653317735,316120137.40910536,316124573.67260545,73,2020-10-02
UNBLOCK,112,154,321673.0434876546,452730.52316990925,316120137.40910536,316124573.67260545,74,2020-10-02
Blockheads Development,121,148,390910.9890477447,449141.67824774486,316120137.40910536,316124573.67260545,75,2020-10-02
Transcranial Solutions,30,48,136250.71176913884,427356.1774985337,316120137.40910536,316124573.67260545,76,2020-10-02
ICON Thailand,49,80,367916.1754845659,425756.7013268631,316120137.40910536,316124573.67260545,77,2020-10-02
ICON USA,80,127,380107.2746172549,419244.1497340512,316120137.40910536,316124573.67260545,78,2020-10-02
ICONSG,31,49,34139.004598010106,398002.7322862003,316120137.40910536,316124573.67260545,79,2020-10-02
DRAICON BALL,90,110,371256.22469400085,396854.515927973,316120137.40910536,316124573.67260545,80,2020-10-02
Wetez,29,40,388162.6749904761,395905.34259047615,316120137.40910536,316124573.67260545,81,2020-10-02
ICON Oasis,65,85,32610.322102546183,387936.4171817242,316120137.40910536,316124573.67260545,82,2020-10-02
ICON-NYC,62,93,107767.89116821598,371243.77831870416,316120137.40910536,316124573.67260545,83,2020-10-02
ICON Guide Star,40,69,102965.97181395184,317827.43549092906,316120137.40910536,316124573.67260545,84,2020-10-02
Staked Tech,50,79,157419.01612060057,315237.51800375496,316120137.40910536,316124573.67260545,85,2020-10-02
Plan-P,27,55,18086.788062217664,302081.21171827015,316120137.40910536,316124573.67260545,86,2020-10-02
Iconserve,56,77,40815.63330555029,302061.7704696855,316120137.40910536,316124573.67260545,87,2020-10-02
GagarinCrypto,22,28,285061.926,300453.5422,316120137.40910536,316124573.67260545,88,2020-10-02
Staked,139,185,226913.42760351766,297438.2133282571,316120137.40910536,316124573.67260545,89,2020-10-02
Icon-4-Business,42,73,84361.64471037447,291178.1714881159,316120137.40910536,316124573.67260545,90,2020-10-02
ICONLEO,20,35,115571.23848680714,280037.9138695717,316120137.40910536,316124573.67260545,91,2020-10-02
ICON Econ,52,76,247113.6135091536,268213.0109378388,316120137.40910536,316124573.67260545,92,2020-10-02
Sunrise,44,67,25804.56289278094,246310.32968164337,316120137.40910536,316124573.67260545,93,2020-10-02
Sicko Node,33,51,68349.24906799001,226302.2158318993,316120137.40910536,316124573.67260545,94,2020-10-02
icon-node-NL,32,55,24815.027796940543,226079.84699694059,316120137.40910536,316124573.67260545,95,2020-10-02
DELIGHT,60,76,152143.43620000003,215568.698452163,316120137.40910536,316124573.67260545,96,2020-10-02
Frontlines Media,25,34,183787.38138841646,206143.30047446556,316120137.40910536,316124573.67260545,97,2020-10-02
ICON BOOM,50,75,24632.616808700714,199334.01718787279,316120137.40910536,316124573.67260545,98,2020-10-02
ICON London,87,132,137653.38966775357,197733.5329148738,316120137.40910536,316124573.67260545,99,2020-10-02
ICONIST VOTE WISELY,21,30,50267.75094459329,174221.10004459327,316120137.40910536,316124573.67260545,100,2020-10-02
RemICX,12,28,5488.687202590031,169221.00635436206,316120137.40910536,316124573.67260545,101,2020-10-02
Icon Panda,24,40,116724.57231982451,160091.9023833024,316120137.40910536,316124573.67260545,102,2020-10-02
HypoICON,39,62,22589.588453057855,158358.65225305784,316120137.40910536,316124573.67260545,103,2020-10-02
ICX FREEZER,53,75,112274.44015583929,143755.7480270338,316120137.40910536,316124573.67260545,104,2020-10-02
DSNC,45,65,39456.937699999995,141740.23368353478,316120137.40910536,316124573.67260545,105,2020-10-02
InfStones,58,64,132041.86210000006,138224.4640852482,316120137.40910536,316124573.67260545,106,2020-10-02
Gilga Capital,62,82,66938.92720622779,126248.40736910797,316120137.40910536,316124573.67260545,107,2020-10-02
loop57,34,43,95678.57184943125,116282.17284943123,316120137.40910536,316124573.67260545,108,2020-10-02
ICXmerch,26,42,13399.23643654458,87809.74889329216,316120137.40910536,316124573.67260545,109,2020-10-02
A_Block,44,62,36638.196402701054,85832.81108224593,316120137.40910536,316124573.67260545,110,2020-10-02
X-node,38,61,38225.399555992626,74745.55377374022,316120137.40910536,316124573.67260545,111,2020-10-02
FOCUS,37,50,52648.08755651495,65773.64697316295,316120137.40910536,316124573.67260545,112,2020-10-02
mirai,13,20,3515.3556000000003,46649.284799999994,316120137.40910536,316124573.67260545,113,2020-10-02
manifest-icon,33,48,16465.477883888845,45413.892383888844,316120137.40910536,316124573.67260545,114,2020-10-02
Xangle,29,46,24664.66989991178,43042.55323424742,316120137.40910536,316124573.67260545,115,2020-10-02
HASHRATE PLUS,39,64,11136.272299456607,36410.73043868611,316120137.40910536,316124573.67260545,116,2020-10-02
FOMO MASTERNODE,44,58,16034.009969055258,34843.51646905528,316120137.40910536,316124573.67260545,117,2020-10-02
Nodeasy.com,18,25,28613.535887208673,31782.668687208672,316120137.40910536,316124573.67260545,118,2020-10-02
IFnLIFE,23,37,22666.195699999997,29084.53311983359,316120137.40910536,316124573.67260545,119,2020-10-02
MW node,12,18,16381.657000000001,26967.685400000002,316120137.40910536,316124573.67260545,120,2020-10-02
Noris [New Node],24,35,17487.0754,25791.560499999992,316120137.40910536,316124573.67260545,121,2020-10-02
neo_icon,29,42,14762.062995792572,25497.284415922586,316120137.40910536,316124573.67260545,122,2020-10-02
PakChina,27,36,9894.546699999999,23340.606499999998,316120137.40910536,316124573.67260545,123,2020-10-02
Bit Cat,24,34,17157.32038571527,22023.317025363118,316120137.40910536,316124573.67260545,124,2020-10-02
nel node,21,26,16335.961099999999,21600.080900000004,316120137.40910536,316124573.67260545,125,2020-10-02
DFG Crypto,20,30,12578.2596,20174.4071,316120137.40910536,316124573.67260545,126,2020-10-02
Azabu Research,34,48,12352.948307999999,18574.151308,316120137.40910536,316124573.67260545,127,2020-10-02
Common Computer Online,17,25,4814.977395181967,14616.510816561458,316120137.40910536,316124573.67260545,128,2020-10-02
Sesameseed,10,21,4314.0256006571335,13752.71633858625,316120137.40910536,316124573.67260545,129,2020-10-02
iccc node,15,21,5097.13817742056,12356.143496200337,316120137.40910536,316124573.67260545,130,2020-10-02
Cobo ICON,16,28,4674.458483080211,9348.301783080211,316120137.40910536,316124573.67260545,131,2020-10-02
