P-Reps,stagnant_voter_count,total_voter_count,stagnant_votes,prep_total_votes,included_network_total_votes,current_network_total_votes,prep_ranking,extraction_date
ICON Foundation,3070,5984,27404875.38300457,48288300.61064643,314169955.060427,316124573.67260545,1,2020-10-02
ICX_Station,3179,4892,11274084.07721898,20238489.426611397,314169955.060427,316124573.67260545,2,2020-10-02
VELIC,2672,3897,8844508.049844863,17845040.887166195,314169955.060427,316124573.67260545,3,2020-10-02
Ubik Capital,2587,3771,7366632.10645933,14408727.804043753,314169955.060427,316124573.67260545,4,2020-10-02
ICONation,2591,4063,6383461.869199252,14079456.811856534,314169955.060427,316124573.67260545,5,2020-10-02
RHIZOME,1999,3123,5306840.540772812,12249764.410052573,314169955.060427,316124573.67260545,6,2020-10-02
ICON Hyperconnect,460,1338,1423906.0475179506,11527997.24486177,314169955.060427,316124573.67260545,7,2020-10-02
ICONbet Community,191,619,1514116.8450678277,9129966.31887091,314169955.060427,316124573.67260545,8,2020-10-02
Symmetry SLC,638,944,8188860.906076196,8997834.452935483,314169955.060427,316124573.67260545,9,2020-10-02
NEOPLY,1,219,2.3083,8503098.598343566,314169955.060427,316124573.67260545,10,2020-10-02
Mineable,937,1726,2696237.317831759,7146314.0586655885,314169955.060427,316124573.67260545,11,2020-10-02
Everstake,533,1029,3220437.928058684,6434215.484581085,314169955.060427,316124573.67260545,12,2020-10-02
weBloc asia,1007,1486,4351110.877499016,6329000.529785882,314169955.060427,316124573.67260545,13,2020-10-02
ICON DAO,420,908,2350563.30895512,6317373.0615797825,314169955.060427,316124573.67260545,14,2020-10-02
Stakin,734,1142,1676402.2420159404,5972455.075327234,314169955.060427,316124573.67260545,15,2020-10-02
ReliantNode,221,570,1843191.9507018358,5391562.470565856,314169955.060427,316124573.67260545,16,2020-10-02
iBriz - ICONOsphere,165,358,1920888.8741624346,5230838.021712879,314169955.060427,316124573.67260545,17,2020-10-02
ICONVIET,607,990,1942396.1131595413,5209360.243786513,314169955.060427,316124573.67260545,18,2020-10-02
block42,359,740,929258.0735211811,5165632.490616519,314169955.060427,316124573.67260545,19,2020-10-02
ICONPLUS,116,456,805888.780495122,5034265.101534503,314169955.060427,316124573.67260545,20,2020-10-02
Citadel.one,719,1035,3070649.573274358,4394080.356240596,314169955.060427,316124573.67260545,21,2020-10-02
Blockmove,220,464,1493952.5122980718,4278054.163140547,314169955.060427,316124573.67260545,22,2020-10-02
PARROT9,112,304,1626966.2681059125,4176286.7128281705,314169955.060427,316124573.67260545,23,2020-10-02
Icon Pilipinas,62,297,546727.0859070006,3628887.7065870594,314169955.060427,316124573.67260545,24,2020-10-02
InterBlock,170,290,1918639.6330136464,3522467.026423977,314169955.060427,316124573.67260545,25,2020-10-02
Sharpn,309,498,1962504.4098465727,3063643.5155087323,314169955.060427,316124573.67260545,26,2020-10-02
Insight,275,396,468666.24572823173,3052173.082566503,314169955.060427,316124573.67260545,27,2020-10-02
Deblock with STAYGE,319,418,1617650.518146794,2979088.419124261,314169955.060427,316124573.67260545,28,2020-10-02
ICON Forge,36,140,1195560.0405646076,2759798.0674114935,314169955.060427,316124573.67260545,29,2020-10-02
