P-Reps,stagnant_voter_count,total_voter_count,stagnant_votes,prep_total_votes,included_network_total_votes,current_network_total_votes,prep_ranking,extraction_date
ICON Foundation,2510,5984,24538540.914119735,48288300.61064643,305653103.7457448,316124573.67260545,1,2020-10-02
ICX_Station,2759,4892,9124344.82338527,20238489.426611397,305653103.7457448,316124573.67260545,2,2020-10-02
VELIC,2370,3897,7516845.1854210505,17845040.887166195,305653103.7457448,316124573.67260545,3,2020-10-02
Ubik Capital,2275,3771,6186491.157979513,14408727.804043753,305653103.7457448,316124573.67260545,4,2020-10-02
ICONation,2233,4063,5159783.799601421,14079456.811856534,305653103.7457448,316124573.67260545,5,2020-10-02
RHIZOME,1753,3123,4304811.935975474,12249764.410052573,305653103.7457448,316124573.67260545,6,2020-10-02
ICON Hyperconnect,321,1338,993526.8366329316,11527997.24486177,305653103.7457448,316124573.67260545,7,2020-10-02
ICONbet Community,130,619,1272426.885978033,9129966.31887091,305653103.7457448,316124573.67260545,8,2020-10-02
Symmetry SLC,560,944,8005726.404062423,8997834.452935483,305653103.7457448,316124573.67260545,9,2020-10-02
Mineable,765,1726,1918970.2190310457,7146314.0586655885,305653103.7457448,316124573.67260545,11,2020-10-02
Everstake,432,1029,2829116.27942476,6434215.484581085,305653103.7457448,316124573.67260545,12,2020-10-02
weBloc asia,900,1486,3614170.5370887145,6329000.529785882,305653103.7457448,316124573.67260545,13,2020-10-02
ICON DAO,344,908,2017351.4202850186,6317373.0615797825,305653103.7457448,316124573.67260545,14,2020-10-02
Stakin,627,1142,1086170.7420581256,5972455.075327234,305653103.7457448,316124573.67260545,15,2020-10-02
ReliantNode,160,570,1421088.9686653952,5391562.470565856,305653103.7457448,316124573.67260545,16,2020-10-02
iBriz - ICONOsphere,118,358,1725339.3576624345,5230838.021712879,305653103.7457448,316124573.67260545,17,2020-10-02
ICONVIET,530,990,1804456.6872366054,5209360.243786513,305653103.7457448,316124573.67260545,18,2020-10-02
block42,298,740,650142.4729011814,5165632.490616519,305653103.7457448,316124573.67260545,19,2020-10-02
ICONPLUS,69,456,519612.3025959316,5034265.101534503,305653103.7457448,316124573.67260545,20,2020-10-02
Citadel.one,645,1035,2726539.525390548,4394080.356240596,305653103.7457448,316124573.67260545,21,2020-10-02
Blockmove,171,464,1345662.0334817232,4278054.163140547,305653103.7457448,316124573.67260545,22,2020-10-02
PARROT9,78,304,1502602.3380871695,4176286.7128281705,305653103.7457448,316124573.67260545,23,2020-10-02
Icon Pilipinas,31,297,209641.5634322393,3628887.7065870594,305653103.7457448,316124573.67260545,24,2020-10-02
InterBlock,145,290,1893400.5431999988,3522467.026423977,305653103.7457448,316124573.67260545,25,2020-10-02
Sharpn,259,498,1688524.486602798,3063643.5155087323,305653103.7457448,316124573.67260545,26,2020-10-02
Insight,238,396,387720.57395865384,3052173.082566503,305653103.7457448,316124573.67260545,27,2020-10-02
Deblock with STAYGE,288,418,1486003.3183561603,2979088.419124261,305653103.7457448,316124573.67260545,28,2020-10-02
ICON Forge,20,140,651267.4189226809,2759798.0674114935,305653103.7457448,316124573.67260545,29,2020-10-02
Catalyst,94,178,109093.49497260715,2730183.486321067,305653103.7457448,316124573.67260545,30,2020-10-02
ICONologist,53,178,77287.15480442301,2262952.999720342,305653103.7457448,316124573.67260545,31,2020-10-02
ICONTROL,9,65,403866.8707,2153424.462893924,305653103.7457448,316124573.67260545,32,2020-10-02
Bara-Node,20,40,20458.246998,1879750.34120947,305653103.7457448,316124573.67260545,34,2020-10-02
MouseBelt | Multi.io,117,189,735273.8787539575,1826299.7186924198,305653103.7457448,316124573.67260545,35,2020-10-02
MinerGate,88,160,1231930.2835287554,1826292.4396624982,305653103.7457448,316124573.67260545,36,2020-10-02
Orangebloc,15,42,1436132.9689,1778666.8289984632,305653103.7457448,316124573.67260545,37,2020-10-02
Midos,13,76,17863.510591325732,1703042.2116229504,305653103.7457448,316124573.67260545,38,2020-10-02
Iconoscope,48,96,37312.159475440305,1679828.6292086293,305653103.7457448,316124573.67260545,39,2020-10-02
Piconbello,66,167,74374.83458552709,1679503.533150074,305653103.7457448,316124573.67260545,40,2020-10-02
Hourglass,12,45,1238195.4288,1586197.8336789336,305653103.7457448,316124573.67260545,41,2020-10-02
ICON Sweden,296,503,831078.0303264508,1534879.9508843163,305653103.7457448,316124573.67260545,42,2020-10-02
Cardinal,17,46,1196362.560926,1532478.6305869215,305653103.7457448,316124573.67260545,43,2020-10-02
DEMOS,66,135,1069876.7489999996,1357249.2984118052,305653103.7457448,316124573.67260545,44,2020-10-02
OneLife 9to5,16,41,12904.828472880437,1221206.2595591045,305653103.7457448,316124573.67260545,45,2020-10-02
Yudus Lab,1,18,15.9992,1192102.4935995252,305653103.7457448,316124573.67260545,46,2020-10-02
ICON Labs,49,185,81667.0951874919,1077899.2765326232,305653103.7457448,316124573.67260545,47,2020-10-02
StakingTeam,69,183,121252.76297999421,1066814.8310384436,305653103.7457448,316124573.67260545,48,2020-10-02
Silicon Valley ICON,38,147,157158.01579103488,1044119.4596976493,305653103.7457448,316124573.67260545,49,2020-10-02
Chainode Tech,139,220,711957.3837924179,1009417.3895857604,305653103.7457448,316124573.67260545,50,2020-10-02
Newroad,156,267,676484.8306524327,959040.5868792819,305653103.7457448,316124573.67260545,51,2020-10-02
ICONNECT-Global,78,145,749361.9736242454,926199.6605883132,305653103.7457448,316124573.67260545,52,2020-10-02
Metanyx,60,150,648745.6758951754,921995.6639998748,305653103.7457448,316124573.67260545,53,2020-10-02
Blockchain at Berkeley,179,317,590543.0003783627,897404.3129898888,305653103.7457448,316124573.67260545,54,2020-10-02
ICX_Stratos,22,47,878521.1479133816,892786.1246743322,305653103.7457448,316124573.67260545,55,2020-10-02
ICX Australia,235,397,527549.165000889,854185.7166478569,305653103.7457448,316124573.67260545,56,2020-10-02
HOLA ICON,34,102,122149.01212211861,780861.5909956769,305653103.7457448,316124573.67260545,57,2020-10-02
ICX Belgium,22,111,15839.746958735941,758227.4364030302,305653103.7457448,316124573.67260545,58,2020-10-02
Alice,19,50,15766.922083400004,756488.072121853,305653103.7457448,316124573.67260545,59,2020-10-02
RHYTHM (Australia),13,81,29016.891104727492,741177.5216022608,305653103.7457448,316124573.67260545,60,2020-10-02
iconic innovation,37,94,17580.03823312357,700596.2269716077,305653103.7457448,316124573.67260545,61,2020-10-02
Progression,13,52,26782.49268841093,683131.2556703115,305653103.7457448,316124573.67260545,62,2020-10-02
ICON Russia,8,61,91837.17215470411,662328.7481354601,305653103.7457448,316124573.67260545,63,2020-10-02
Signal9,231,359,300765.1634765614,658363.909956371,305653103.7457448,316124573.67260545,64,2020-10-02
ICON Chicago,29,108,21787.601860000002,620477.9793790568,305653103.7457448,316124573.67260545,65,2020-10-02
Hermes Greece,14,63,133169.6541,611532.740207343,305653103.7457448,316124573.67260545,66,2020-10-02
The Iconist,49,216,46652.01616337945,588086.9676560129,305653103.7457448,316124573.67260545,67,2020-10-02
ICX Malta,11,59,6154.5709,579511.5384339726,305653103.7457448,316124573.67260545,68,2020-10-02
Foundry Box Media,37,93,301080.35880000005,577023.9287700587,305653103.7457448,316124573.67260545,69,2020-10-02
POCKET / FIGMENT,134,213,421488.24964333785,554902.8962149463,305653103.7457448,316124573.67260545,70,2020-10-02
Espanicon,22,89,145493.13540000003,518563.61301275564,305653103.7457448,316124573.67260545,71,2020-10-02
ICON4Education,29,111,129406.63463082067,495439.55633574456,305653103.7457448,316124573.67260545,72,2020-10-02
ICON Spark,17,90,10057.242937291514,475398.64653317735,305653103.7457448,316124573.67260545,73,2020-10-02
UNBLOCK,62,154,159694.22970000003,452730.52316990925,305653103.7457448,316124573.67260545,74,2020-10-02
Blockheads Development,87,148,281770.1244917716,449141.67824774486,305653103.7457448,316124573.67260545,75,2020-10-02
Transcranial Solutions,13,48,94702.61099999999,427356.1774985337,305653103.7457448,316124573.67260545,76,2020-10-02
ICON Thailand,18,80,333744.3922007543,425756.7013268631,305653103.7457448,316124573.67260545,77,2020-10-02
ICON USA,28,127,354783.5690678254,419244.1497340512,305653103.7457448,316124573.67260545,78,2020-10-02
ICONSG,17,49,21765.180934125965,398002.7322862003,305653103.7457448,316124573.67260545,79,2020-10-02
DRAICON BALL,59,110,300417.063988224,396854.515927973,305653103.7457448,316124573.67260545,80,2020-10-02
Wetez,16,40,9950.23999047612,395905.34259047615,305653103.7457448,316124573.67260545,81,2020-10-02
ICON Oasis,29,85,11272.26798083823,387936.4171817242,305653103.7457448,316124573.67260545,82,2020-10-02
ICON-NYC,24,93,91901.33544997027,371243.77831870416,305653103.7457448,316124573.67260545,83,2020-10-02
ICON Guide Star,11,69,4683.4213,317827.43549092906,305653103.7457448,316124573.67260545,84,2020-10-02
Staked Tech,23,79,111749.86809999999,315237.51800375496,305653103.7457448,316124573.67260545,85,2020-10-02
Plan-P,16,55,11166.247362217662,302081.21171827015,305653103.7457448,316124573.67260545,86,2020-10-02
Iconserve,28,77,29113.3413,302061.7704696855,305653103.7457448,316124573.67260545,87,2020-10-02
GagarinCrypto,8,28,100774.3039,300453.5422,305653103.7457448,316124573.67260545,88,2020-10-02
Staked,95,185,88583.78551918159,297438.2133282571,305653103.7457448,316124573.67260545,89,2020-10-02
Icon-4-Business,14,73,5803.423177831946,291178.1714881159,305653103.7457448,316124573.67260545,90,2020-10-02
ICONLEO,6,35,98485.9783,280037.9138695717,305653103.7457448,316124573.67260545,91,2020-10-02
ICON Econ,21,76,210393.14960000003,268213.0109378388,305653103.7457448,316124573.67260545,92,2020-10-02
Sunrise,21,67,18291.7772,246310.32968164337,305653103.7457448,316124573.67260545,93,2020-10-02
