IRC Token,Amount,No. of Transactions
sICX,6474440.950301879,10517
bnUSD,6634666.298998877,10350
OMM,2658435.990999645,8464
IUSDC,2102717.130632,6114
BALN,566081.059667698,3504
USDS,2226800.78461154,2625
oIUSDC,333933.375424,2482
CFT,207364.97540206125,919
METX,464356.9886518394,813
PGT,3000.0,656
oICX,1254715.0218420303,307
oUSDS,684296.0253891568,287
dIUSDC,420902.76434,150
UP,2.3327048104458763,60
dUSDS,233075.244244294,59
TAP,610682.0328407974,43
SEED,162.23324399999998,30
LDX,1550.0,14
ACT,400.0,4
HGC,25000.0,2
EPX,5.0,1
SPORTS,131409012.1,1
