IRC Token,Amount,No. of Transactions
bnUSD,3796756.5348641053,7494
sICX,4594477.75740411,7392
OMM,2432216.750620633,5143
BALN,427642.8482123508,3615
IUSDC,4221429.01704,3208
USDS,2038800.2811895586,2418
METX,2291454.356113393,1638
CFT,454983.9603241897,1000
PGT,3000.0,599
GBET,135322.0,363
oIUSDC,1240968.822657,273
oICX,1019367.4393417801,254
oUSDS,644050.0010144459,252
dIUSDC,869552.757487,195
UP,4.437838935131218,93
dUSDS,352664.37375777983,83
TAP,1102373.042259673,63
SEED,126.66095800000001,44
LDX,2757.0,15
IUSDT,1022373.622983,7
ACT,500.0,5
uTAP,30.529211848008366,3
HGC,9000.0,2
EPX,0.26,2
ICXIOU,2314.43164935,1
uMETX,140.43021513275087,1
