IRC Token,Amount,No. of Transactions
OMM,4965675.589507232,16090
sICX,5413843.380947468,10779
IUSDC,6174453.404404,9787
bnUSD,5356408.185650599,8304
BALN,579711.479857578,3761
USDS,3549348.9434142285,3584
oIUSDC,1295219.8621760001,2806
PGT,3000.0,888
oUSDS,890891.8231382009,754
oICX,876962.8381742076,694
dIUSDC,594570.673712,369
dUSDS,362820.7490561772,279
METX,332771.690817605,145
LDX,257810.0,136
UP,232.9335589137824,76
TAP,891486.042250235,56
SEED,44904.122838999996,39
ICXIOU,3560.892477,8
EPX,2.5427999999999997,4
SPORTS,8000000.0,2
uTAP,4812.164031713261,2
uMETX,30.266141945608084,1
