IRC Token,Amount,No. of Transactions
bnUSD,2738077.706133465,7149
sICX,4428255.318968104,6631
OMM,2354765.074338335,3777
BALN,469092.6185293015,2858
IUSDC,6935767.443791,2376
USDS,2469170.149420007,2346
METX,2589026.1346118995,1367
IWIN,208742.2535,1160
IUSDT,127929.096454,727
CFT,104708.67098783427,650
oIUSDC,2299625.778161,301
oUSDS,961802.2177464265,254
GBET,47712.0,215
oICX,1027977.8549901341,157
dIUSDC,1046731.4021760001,156
dUSDS,418352.2682827705,144
UP,3.1040330292367297,126
TAP,745332.143715534,74
SEED,490.522519,64
HGC,136500.0,6
LDX,1700.0,5
ACT,300.0,3
uTAP,68.3022766607133,3
ICXIOU,37.7,2
PGT,1000.0,1
uMETX,18.233113744413423,1
uSEED,1.37841140009e-05,1
