IRC Token,Amount,No. of Transactions
bnUSD,10596595.564288901,8300
sICX,23023351.114745993,7844
BALN,2285560.7637937185,3170
OMM,8961551.186997592,2871
IWIN,4196.7939,2672
IUSDC,2044193.970409,1950
USDS,1332332.8859115567,1677
METX,2679559.460341407,1320
GBET,2246088.3112545325,1254
oICX,1064037.1226677455,333
obnUSD,801436.5859769136,191
oUSDS,276910.17330533004,144
oIUSDC,306647.446233,142
CFT,1324633.4427423659,129
dbnUSD,159859.93796775656,93
IUSDT,42997.40784,90
oOMM,30694.32888870152,86
dIUSDC,165891.759628,72
dUSDS,141679.97181964247,70
TAP,1186231.090059333,43
UP,4.68081159392838,32
dBALN,25307.073811529997,21
oBALN,246290.36264474792,19
LDX,3629.0,17
finICX,50.0,2
HGC,3000.0,1
uMETX,3.30255633e-07,1
