IRC Token,Amount,No. of Transactions
OMM,7657072.042828494,39971
sICX,61863534.527248554,29698
IUSDC,93521861.459102,16488
bnUSD,14414283.971277086,12687
USDS,15058501.8291423,9009
BALN,2045568.9371426532,7046
oICX,17192484.518715017,3445
oUSDS,4441336.064477152,2424
PGT,3250.1030006513447,2050
oIUSDC,35828112.023768,1523
dIUSDC,13457040.850918999,1508
dUSDS,1936813.0731148017,1008
METX,1092394.102728314,627
UP,233.16273664336887,140
SEED,574.7109810000001,69
TAP,711059.8991364727,68
LDX,6350.0,12
ACT,210.0,3
uUP,115.83277043762152,2
ICXIOU,64.85128,1
HGC,25000.0,1
uMETX,50.19849521423463,1
