IRC Token,Amount,No. of Transactions
bnUSD,8377203.536442527,5054
sICX,7830345.787313771,4663
BALN,580820.109840175,2827
OMM,1777207.8651854033,2193
IUSDC,2776304.690559,1660
USDS,1412551.2140842522,1278
METX,497354.91198304895,1086
oIUSDC,703005.685614,208
obnUSD,1758487.058890559,173
GBET,58537.0,173
oICX,666238.8421793865,153
CFT,422608.1290943995,140
IUSDT,36384.425936,97
dIUSDC,172968.264245,94
dUSDS,289985.47312466276,75
oUSDS,161575.51947496415,72
dbnUSD,649543.8374065355,63
TAP,838226.3829541351,43
UP,2.679328985966999,23
LDX,3620.0,7
ACT,300.0,3
SEED,355.061756,2
HGC,16000.0,2
ICXIOU,325.72244999,1
