IRC Token,Amount,No. of Transactions
sICX,7147820.761630455,8942
bnUSD,4859074.048604072,7678
OMM,2357176.5266219135,6092
BALN,634576.604173955,4013
IUSDC,4561299.103321,3207
USDS,5523174.001185417,1957
METX,507421.42097077874,812
PGT,3000.0,749
oICX,879437.519277891,386
oUSDS,1753971.0934165048,358
dIUSDC,714416.085474,241
dUSDS,1446825.414174692,173
oIUSDC,1287307.53788,154
UP,3.059513503210159,91
TAP,1207524.777620788,72
SEED,299.514236,46
ACT,800.0,8
LDX,760.0,8
HGC,180000.0,5
EPX,13.13,3
uMETX,0.0681468779156881,1
uTAP,1.61896377376e-05,1
