IRC Token,Amount,No. of Transactions
bnUSD,9632378.25496667,13510
sICX,10377339.32336817,12909
OMM,2785428.4129334614,8819
IUSDC,1927648.635816,6596
METX,13616196.976294627,4405
BALN,839384.0921739403,4122
USDS,1959510.5979252635,3381
oIUSDC,298567.903146,2454
CFT,1540447.2283444144,1093
GBET,1702464.0,968
PGT,3000.0,627
oICX,950021.4844556677,404
oUSDS,541824.0780137546,314
dIUSDC,286902.505433,209
UP,3.0102962980152426,98
dUSDS,158779.9348341698,58
SEED,120.311814,48
TAP,350889.87621543586,44
ICXIOU,42155.41252935,12
LDX,13957.0,6
ACT,300.0,3
uMETX,165.9553336227112,2
EPX,0.65,1
uUP,0.0196256846621852,1
