token_contract_address,from_address,dest_address,value,transaction_hash,log_index,block_number,amount,block_timestamp,token_name,fee,symbol,nft_id,transaction_index,datetime
cx88fd7df7ddff82f7cc735c871dc519838cb235bb,cxa0af3165c08318e988cb30993b3048335b94af6c,cx5faae53c4dbd1fbe4a2eb4aab6565030f10da5c6,0x21e47d2f79ad800,0x6d515cf51356d928efeec72df4261be29b8abe680daa270b236bb2e129b2aa43,2,91424466,0.1526384088,1735520564523480,Balanced Dollar,0.0564003625,bnUSD,0,1,2024-12-30
cx288d13e1b63563459a2ac6179f237711f6851cb5,cxa0af3165c08318e988cb30993b3048335b94af6c,hxd75467e3e4ce64e3424c747dfb71503017440433,0x6add4376efd953,0x6d515cf51356d928efeec72df4261be29b8abe680daa270b236bb2e129b2aa43,1,91424466,0.03007962935930709,1735520564523480,btp-0x38.bsc-ETH,0.0564003625,ETH,0,1,2024-12-30
cx88fd7df7ddff82f7cc735c871dc519838cb235bb,hxd75467e3e4ce64e3424c747dfb71503017440433,cxa0af3165c08318e988cb30993b3048335b94af6c,0x58430600f78928000,0x6d515cf51356d928efeec72df4261be29b8abe680daa270b236bb2e129b2aa43,0,91424466,101.7589392,1735520564523480,Balanced Dollar,0.0564003625,bnUSD,0,1,2024-12-30
cx66a031cc3bd305c76371fb586e93801b948254f0,cx21e94c08c03daee80c25d8ee3ea22a20786ec231,hx2debd9ec927cca1639da8d3518dd9dbf1cdfb357,0x8ac6d142b761b973,0x2f357bbbe446377087c43f4d38f0829a7fa60a2bf84bfaa6c0ce394071b7e7a3,5,91424460,9.999910107097447,1735520552520168,Avalanche,0.0882424375,AVAX,0,1,2024-12-30
cx88fd7df7ddff82f7cc735c871dc519838cb235bb,cxa0af3165c08318e988cb30993b3048335b94af6c,cx5faae53c4dbd1fbe4a2eb4aab6565030f10da5c6,0x78f940bf45cd845,0x2f357bbbe446377087c43f4d38f0829a7fa60a2bf84bfaa6c0ce394071b7e7a3,3,91424460,0.5448168590003959,1735520552520168,Balanced Dollar,0.0882424375,bnUSD,0,1,2024-12-30
cx66a031cc3bd305c76371fb586e93801b948254f0,cxa0af3165c08318e988cb30993b3048335b94af6c,cx21e94c08c03daee80c25d8ee3ea22a20786ec231,0x8ac6d142b761b973,0x2f357bbbe446377087c43f4d38f0829a7fa60a2bf84bfaa6c0ce394071b7e7a3,2,91424460,9.999910107097447,1735520552520168,Avalanche,0.0882424375,AVAX,0,1,2024-12-30
cx88fd7df7ddff82f7cc735c871dc519838cb235bb,cx21e94c08c03daee80c25d8ee3ea22a20786ec231,cxa0af3165c08318e988cb30993b3048335b94af6c,0x13b09189cc5c7333b0,0x2f357bbbe446377087c43f4d38f0829a7fa60a2bf84bfaa6c0ce394071b7e7a3,1,91424460,363.21123933359723,1735520552520168,Balanced Dollar,0.0882424375,bnUSD,0,1,2024-12-30
cx88fd7df7ddff82f7cc735c871dc519838cb235bb,hx2debd9ec927cca1639da8d3518dd9dbf1cdfb357,cx21e94c08c03daee80c25d8ee3ea22a20786ec231,0x13b09189cc5c7333b0,0x2f357bbbe446377087c43f4d38f0829a7fa60a2bf84bfaa6c0ce394071b7e7a3,0,91424460,363.21123933359723,1735520552520168,Balanced Dollar,0.0882424375,bnUSD,0,1,2024-12-30
cx88fd7df7ddff82f7cc735c871dc519838cb235bb,cxa0af3165c08318e988cb30993b3048335b94af6c,hx4dc7903504bb800a462378348a42f53742759e0b,0x41b644e73b96625,0xfe21b0183cea570611977836d78a7dd43d29dd2712c7886802fd2aec5e8b7f77,3,91424422,0.2959404886346563,1735520476496262,Balanced Dollar,0.034759025,bnUSD,0,3,2024-12-30
cx288d13e1b63563459a2ac6179f237711f6851cb5,hx4dc7903504bb800a462378348a42f53742759e0b,cxa0af3165c08318e988cb30993b3048335b94af6c,0x68828ac81e47f4,0x3699ab514adf6d6278f6cc8badf3c5c4e628a6a20a61e4a8c01f91963a695aa2,0,91424422,0.029416930152433653,1735520476496262,btp-0x38.bsc-ETH,0.0216312,ETH,0,2,2024-12-30
cx88fd7df7ddff82f7cc735c871dc519838cb235bb,hx4dc7903504bb800a462378348a42f53742759e0b,cxa0af3165c08318e988cb30993b3048335b94af6c,0x564bee04eecb80000,0x1f8e0fdaa7755dc45b45218f8de2ef6f28bb17743008dce978b87b63d2c16962,0,91424422,99.49320664749914,1735520476496262,Balanced Dollar,0.02221895,bnUSD,0,1,2024-12-30
cx288d13e1b63563459a2ac6179f237711f6851cb5,cx21e94c08c03daee80c25d8ee3ea22a20786ec231,hx4dc7903504bb800a462378348a42f53742759e0b,0x688feb2e5be892,0x3965c5ec266f72d89d4bc2c4dccd9109d68502b67cd5ec253f4fd24f02c326b1,13,91424420,0.029431637835770002,1735520472495366,btp-0x38.bsc-ETH,0.2571977,ETH,0,2,2024-12-30
cx88fd7df7ddff82f7cc735c871dc519838cb235bb,cxa0af3165c08318e988cb30993b3048335b94af6c,cx5faae53c4dbd1fbe4a2eb4aab6565030f10da5c6,0x2125fb17922e45a,0x3965c5ec266f72d89d4bc2c4dccd9109d68502b67cd5ec253f4fd24f02c326b1,11,91424420,0.1492869535028276,1735520472495366,Balanced Dollar,0.2571977,bnUSD,0,2,2024-12-30
cx288d13e1b63563459a2ac6179f237711f6851cb5,cxa0af3165c08318e988cb30993b3048335b94af6c,cx21e94c08c03daee80c25d8ee3ea22a20786ec231,0x688feb2e5be892,0x3965c5ec266f72d89d4bc2c4dccd9109d68502b67cd5ec253f4fd24f02c326b1,10,91424420,0.029431637835770002,1735520472495366,btp-0x38.bsc-ETH,0.2571977,ETH,0,2,2024-12-30
cx88fd7df7ddff82f7cc735c871dc519838cb235bb,cx21e94c08c03daee80c25d8ee3ea22a20786ec231,cxa0af3165c08318e988cb30993b3048335b94af6c,0x5652e88d62032aac8,0x3965c5ec266f72d89d4bc2c4dccd9109d68502b67cd5ec253f4fd24f02c326b1,9,91424420,99.52463566855174,1735520472495366,Balanced Dollar,0.2571977,bnUSD,0,2,2024-12-30
cx88fd7df7ddff82f7cc735c871dc519838cb235bb,cxa0af3165c08318e988cb30993b3048335b94af6c,cx5faae53c4dbd1fbe4a2eb4aab6565030f10da5c6,0x213ebb080613b7d,0x3965c5ec266f72d89d4bc2c4dccd9109d68502b67cd5ec253f4fd24f02c326b1,7,91424420,0.14972235593398567,1735520472495366,Balanced Dollar,0.2571977,bnUSD,0,2,2024-12-30
cx88fd7df7ddff82f7cc735c871dc519838cb235bb,cxa0af3165c08318e988cb30993b3048335b94af6c,cx21e94c08c03daee80c25d8ee3ea22a20786ec231,0x5652e88d62032aac8,0x3965c5ec266f72d89d4bc2c4dccd9109d68502b67cd5ec253f4fd24f02c326b1,6,91424420,99.52463566855174,1735520472495366,Balanced Dollar,0.2571977,bnUSD,0,2,2024-12-30
cx2609b924e33ef00b648a409245c7ea394c467824,cx21e94c08c03daee80c25d8ee3ea22a20786ec231,cxa0af3165c08318e988cb30993b3048335b94af6c,0x16eb0ee3bc26a8d610,0x3965c5ec266f72d89d4bc2c4dccd9109d68502b67cd5ec253f4fd24f02c326b1,5,91424420,422.7660952674391,1735520472495366,Staked ICX,0.2571977,sICX,0,2,2024-12-30
cx2609b924e33ef00b648a409245c7ea394c467824,hx0000000000000000000000000000000000000000,cx21e94c08c03daee80c25d8ee3ea22a20786ec231,0x16eb0ee3bc26a8d610,0x3965c5ec266f72d89d4bc2c4dccd9109d68502b67cd5ec253f4fd24f02c326b1,3,91424420,422.7660952674391,1735520472495366,Staked ICX,0.2571977,sICX,0,2,2024-12-30
cx88fd7df7ddff82f7cc735c871dc519838cb235bb,cx21e94c08c03daee80c25d8ee3ea22a20786ec231,hx4dc7903504bb800a462378348a42f53742759e0b,0x5656fb336bdaf18fb,0x07d575bc870793d03e75fcd4beef9b975422446b44b4e7d43d751f996d5a3401,14,91424420,99.54297813648533,1735520472495366,Balanced Dollar,0.24162225,bnUSD,0,1,2024-12-30
cx88fd7df7ddff82f7cc735c871dc519838cb235bb,cx203d9cd2a669be67177e997b8948ce2c35caffae,cx835b300dcfe01f0bdb794e134a0c5628384f4367,0x3cac1bf4b7ddccce,0x07d575bc870793d03e75fcd4beef9b975422446b44b4e7d43d751f996d5a3401,11,91424420,4.371900076140646,1735520472495366,Balanced Dollar,0.24162225,bnUSD,0,1,2024-12-30
cx88fd7df7ddff82f7cc735c871dc519838cb235bb,cx5faae53c4dbd1fbe4a2eb4aab6565030f10da5c6,cx203d9cd2a669be67177e997b8948ce2c35caffae,0x56acba3906aa924b,0x07d575bc870793d03e75fcd4beef9b975422446b44b4e7d43d751f996d5a3401,9,91424420,6.245571537343779,1735520472495366,Balanced Dollar,0.24162225,bnUSD,0,1,2024-12-30
cx88fd7df7ddff82f7cc735c871dc519838cb235bb,cx5faae53c4dbd1fbe4a2eb4aab6565030f10da5c6,cxdc30a0d3a1f131565c071272a20bc0b06fd4c17b,0x56acba3906aa924a,0x07d575bc870793d03e75fcd4beef9b975422446b44b4e7d43d751f996d5a3401,8,91424420,6.245571537343779,1735520472495366,Balanced Dollar,0.24162225,bnUSD,0,1,2024-12-30
cx88fd7df7ddff82f7cc735c871dc519838cb235bb,cxa0af3165c08318e988cb30993b3048335b94af6c,cx5faae53c4dbd1fbe4a2eb4aab6565030f10da5c6,0x21404c8ebe3673c,0x07d575bc870793d03e75fcd4beef9b975422446b44b4e7d43d751f996d5a3401,7,91424420,0.14974994860758817,1735520472495366,Balanced Dollar,0.24162225,bnUSD,0,1,2024-12-30
cx88fd7df7ddff82f7cc735c871dc519838cb235bb,cxa0af3165c08318e988cb30993b3048335b94af6c,cx21e94c08c03daee80c25d8ee3ea22a20786ec231,0x5656fb336bdaf18fb,0x07d575bc870793d03e75fcd4beef9b975422446b44b4e7d43d751f996d5a3401,6,91424420,99.54297813648533,1735520472495366,Balanced Dollar,0.24162225,bnUSD,0,1,2024-12-30
cx2609b924e33ef00b648a409245c7ea394c467824,cx21e94c08c03daee80c25d8ee3ea22a20786ec231,cxa0af3165c08318e988cb30993b3048335b94af6c,0x16eb0ee3bc26a8d610,0x07d575bc870793d03e75fcd4beef9b975422446b44b4e7d43d751f996d5a3401,5,91424420,422.7660952674391,1735520472495366,Staked ICX,0.24162225,sICX,0,1,2024-12-30
cx2609b924e33ef00b648a409245c7ea394c467824,hx0000000000000000000000000000000000000000,cx21e94c08c03daee80c25d8ee3ea22a20786ec231,0x16eb0ee3bc26a8d610,0x07d575bc870793d03e75fcd4beef9b975422446b44b4e7d43d751f996d5a3401,3,91424420,422.7660952674391,1735520472495366,Staked ICX,0.24162225,sICX,0,1,2024-12-30
cx88fd7df7ddff82f7cc735c871dc519838cb235bb,cxa0af3165c08318e988cb30993b3048335b94af6c,cx5faae53c4dbd1fbe4a2eb4aab6565030f10da5c6,0x21d96c948891083,0x79424d95c936938fb30a533448a007137d2ba8f303e22857214df5aa6f785e1c,2,91424171,0.15244375365,1735519974569186,Balanced Dollar,0.056401675,bnUSD,0,1,2024-12-30
cx288d13e1b63563459a2ac6179f237711f6851cb5,cxa0af3165c08318e988cb30993b3048335b94af6c,hxd75467e3e4ce64e3424c747dfb71503017440433,0x6ad18627cfe2c4,0x79424d95c936938fb30a533448a007137d2ba8f303e22857214df5aa6f785e1c,1,91424171,0.03006672165508781,1735519974569186,btp-0x38.bsc-ETH,0.056401675,ETH,0,1,2024-12-30
cx88fd7df7ddff82f7cc735c871dc519838cb235bb,hxd75467e3e4ce64e3424c747dfb71503017440433,cxa0af3165c08318e988cb30993b3048335b94af6c,0x5826356d78f9b0000,0x79424d95c936938fb30a533448a007137d2ba8f303e22857214df5aa6f785e1c,0,91424171,101.6291691,1735519974569186,Balanced Dollar,0.056401675,bnUSD,0,1,2024-12-30
cx88fd7df7ddff82f7cc735c871dc519838cb235bb,cxa0af3165c08318e988cb30993b3048335b94af6c,cx5faae53c4dbd1fbe4a2eb4aab6565030f10da5c6,0x12ce552b26c201ca,0x713292591d0d6340a0930f4d6ae09d6f5df6ef00df4ae284ccc58f945e33477d,2,91424170,1.3551141817073014,1735519972327745,Balanced Dollar,0.070556025,bnUSD,0,2,2024-12-30
cx2609b924e33ef00b648a409245c7ea394c467824,cxa0af3165c08318e988cb30993b3048335b94af6c,hxc1718c79947e0f673296218b5b23adbd9a3b38a8,0xcee72ad3d25d12e319,0x713292591d0d6340a0930f4d6ae09d6f5df6ef00df4ae284ccc58f945e33477d,1,91424170,3816.686638256409,1735519972327745,Staked ICX,0.070556025,sICX,0,2,2024-12-30
