IRC Token,Amount,No. of Transactions
bnUSD,8648032.40114606,10536
sICX,5504468.463615272,10257
BALN,772555.753610782,8699
OMM,2636650.059303669,8476
IUSDC,2703114.553105,3543
LDX,412564.5,3253
USDS,910682.3840402853,2908
METX,2053087.7178826253,2603
CFT,3107217.4766890723,1238
IUSDT,28397.820397,1088
oIUSDC,629129.785186,376
obnUSD,1305600.569845447,365
oICX,528949.7516126119,310
GBET,48588.0,248
oUSDS,287885.69840367336,198
dIUSDC,431308.23937900004,126
dbnUSD,372608.0752049963,106
dUSDS,43194.27685016483,84
TAP,2183892.2789316587,59
UP,509.47513764860156,57
ACT,800.0,8
SEED,1169.271085,3
SPORTS,50399.0,1
