Market Cap (USD),Circulating Supply,Total Supply,Public Treasury  ,total_staked_ICX,Total Staked  ,Circulation Staked  ,Total Voted  
165977346,553895505,845827228,6420130,304568932,0.3601,0.5499,0.34409999999999996
171804918,553996788,845929802,6381271,305122471,0.3607,0.5508,0.3446
186369728,553333639,846067367,6324402,304880338,0.3603,0.551,0.3443
184604651,553505012,846239592,6359123,304715582,0.3601,0.5505,0.34409999999999996
196825625,553675401,846411594,6274880,305582323,0.361,0.5519,0.345
193591519,553812300,846549554,6217638,306091540,0.3616,0.5527000000000001,0.3456
219446069,553915535,846652790,6187342,306314982,0.3618,0.5529999999999999,0.3457
212524151,554018115,846755944,6131479,306253885,0.3617,0.5528,0.3455
213422111,554155922,846893938,6153187,306825520,0.36229999999999996,0.5537,0.34729999999999994
222431925,554322278,847062429,6208112,306950320,0.3624,0.5537,0.34729999999999994
224997467,554492462,847234598,6262233,307136996,0.3625,0.5539000000000001,0.3475
224260353,554879022,847372281,6289331,307075583,0.36239999999999994,0.5534,0.3473
223523240,555265582,847509965,6316430,307014170,0.36229999999999996,0.5529,0.3471
228606622,555568405,847612788,6323194,307484078,0.3628,0.5535,0.34759999999999996
222963188,555702912,847750563,6346255,308011826,0.36329999999999996,0.5543,0.3482
213074942,555839426,847888217,6370691,308607228,0.364,0.5552,0.349
217180398,555940629,847991398,6407170,308200395,0.36340000000000006,0.5544,0.34850000000000003
214185745,556076924,848129197,6460898,308445745,0.36369999999999997,0.5547,0.34869999999999995
227771657,556214107,848267129,6523389,308394122,0.3636,0.5545,0.3486
226218758,557154474,848404767,6510968,308320994,0.36340000000000006,0.5534,0.34840000000000004
226046222,557325276,848576154,6516955,308593332,0.36369999999999997,0.5537,0.34869999999999995
232584573,557425766,848677357,6573831,308594884,0.3636,0.5536,0.34869999999999995
225181021,557562678,848815069,6620603,309117944,0.3642,0.5544,0.3493
224115849,557963386,848966547,6668275,309091573,0.3641,0.5539999999999999,0.349
223050677,558364094,849118025,6715946,309065201,0.364,0.5535,0.3486
214490522,558407165,849162206,6736139,308909613,0.3638,0.5532,0.34840000000000004
213098792,558657793,849347550,6789679,308428205,0.36315,0.5521,0.34790000000000004
211707063,558908422,849532894,6843220,307946798,0.3625,0.551,0.34740000000000004
210067979,559009443,849636759,6823368,308011201,0.3625,0.551,0.3472
209127213,559181993,849810209,6890439,308868011,0.3635,0.5524,0.3482
209103915,558118675,849947755,6557843,309034741,0.3636,0.5537,0.3483
213074506,558255151,850085628,6543539,309145779,0.36369999999999997,0.5538000000000001,0.3486
208905942,558391761,850224939,6568602,310234233,0.3649,0.5556,0.34979999999999994
214711643,558564195,850399465,6493222,311029285,0.3657,0.5568,0.3508
219047358,558668759,850504029,6515797,311215351,0.36590000000000006,0.5571,0.35119999999999996
217209059,558774006,850610095,6545790,321534539,0.37799999999999995,0.5754,0.36329999999999996
218524883,559312799,850750123,6570185,321586619,0.37799999999999995,0.575,0.36329999999999996
210028287,559450235,850887666,6595933,321879009,0.37829999999999997,0.5753,0.36369999999999997
221204783,559620784,851059719,6668018,322076230,0.3784,0.5755,0.3635
232293485,559720651,851162939,6685867,323270052,0.37979999999999997,0.5776,0.36479999999999996
253966327,559891148,851334726,6665155,322822757,0.37920000000000004,0.5766,0.3642
236939483,560027808,851471927,6570810,323778035,0.3803,0.5781000000000001,0.3653
242341696,560313917,851609450,6565422,323407746,0.37979999999999997,0.5771999999999999,0.3568
247743909,560600026,851746973,6560033,323037457,0.37929999999999997,0.5761999999999999,0.3483
247743909,560600026,851746973,6560033,323037457,0.37929999999999997,0.5761999999999999,0.3483
247804848,560737919,851885335,6596100,322978304,0.37920000000000004,0.5760000000000001,0.3481
285688263,560979266,852127581,6648969,323111175,0.37920000000000004,0.5760000000000001,0.34840000000000004
284842995,561167031,852265962,6662068,323341799,0.3794,0.5762,0.348575
283997728,561354797,852404343,6675167,323572423,0.37960000000000005,0.5764,0.34875
283152461,561542562,852542724,6688266,323803047,0.3798,0.5766,0.348925
282307194,561730328,852681105,6701365,324033672,0.38,0.5768,0.34909999999999997
379178622,561936783,852888618,6608895,322459004,0.37810000000000005,0.5738,0.3472
387979276,562040170,852992005,6572208,321552957,0.377,0.5721,0.3461
