selectDates,balanceCounts,totalCounts,annual_real_yield_list,annual_reward_list,annual_inflation_list
 1/7, 124473, 372716, 13.96, 19.41, 8.61
 1/8, 124970, 374110, 13.91, 19.36, 8.61
 1/9, 125498, 375635, 13.87, 19.32, 8.61
 1/10, 125949, 376958, 13.82, 19.27, 8.64
 1/11, 126428, 378301, 13.81, 19.26, 8.81
 1/12, 126860, 379664, 13.78, 19.23, 8.76
 1/13, 127038, 380227, 13.75, 19.2, 4.11
 1/15, 128145, 383167, 13.75, 19.2, 10.04
 1/16, 128519, 384349, 13.71, 19.16, 10.03
 1/17, 128917, 385563, 13.67, 19.12, 8.53
 1/18, 129368, 386959, 13.63, 19.08, 8.8
 1/19, 129777, 388325, 13.61, 19.06, 8.72
 1/20, 130097, 389415, 13.6, 19.05, 8.77
 1/21, 130513, 390664, 13.57, 19.02, 8.79
 1/22, 130887, 391665, 13.45, 18.9, 8.81
 1/23, 131336, 392480, 13.42, 18.87, 8.79
 1/24, 131823, 392947, 13.39, 18.84, 8.8
 1/25, 132277, 393381, 13.33, 18.78, 8.8
 1/26, 132869, 393955, 13.3, 18.75, 8.81
 1/27, 133451, 394555, 13.26, 18.71, 8.82
 1/28, 133691, 394810, 13.1, 18.55, 8.84
 1/29, 134497, 399490, 13.05, 18.5, 8.83
 1/30, 135020, 400969, 13.04, 18.49, 8.79
 1/31, 135644, 402292, 12.98, 18.43, 8.67
 2/1, 136379, 403718, 12.98, 18.43, 8.83
 2/2, 137037, 405274, 12.95, 18.4, 8.55
 2/3, 137713, 406715, 12.94, 18.39, 8.5
 2/4, 138488, 408578, 12.86, 18.31, 8.75
 2/5, 139270, 410150, 13.11, 18.56, 8.73
 2/6, 139660, 411483, 13.17, 18.62, 8.62
 2/7, 140686, 413172, 13.15, 18.6, 8.63
 2/8, 141582, 414754, 13.1, 18.55, 8.61
 2/9, 142312, 416153, 13.05, 18.5, 8.62
 2/10, 142899, 417290, 13.02, 18.47, 8.71
 2/11, 143478, 418413, 12.99, 18.44, 8.61
 2/12, 144041, 419504, 12.93, 18.38, 8.55
 2/13, 144556, 420594, 12.9, 18.35, 8.73
 2/14, 145199, 421791, 12.86, 18.31, 8.65
