selectDates,balanceCounts,totalCounts,annual_real_yield_list,annual_reward_list,annual_inflation_list
 5/12, 237537, 570947, 10.16, 16.04, 8.23
 5/13, 238902, 572911, 10.13, 16.01, 8.24
 5/14, 240351, 574790, 10.13, 16.01, 8.23
 5/15, 242291, 577210, 10.08, 15.96, 8.21
 5/16, 243909, 579269, 8.38, 14.26, 8.38
 5/17, 245282, 581108, 8.36, 14.24, 8.23
 5/18, 246700, 583094, 8.36, 14.24, 8.26
 5/19, 248088, 585033, 8.44, 14.32, 8.25
 5/20, 249590, 587111, 8.44, 14.32, 8.23
 5/21, 251071, 589262, 8.44, 14.32, 8.17
 5/22, 252587, 591373, 8.45, 14.33, 8.14
 5/23, 254148, 593577, 8.43, 14.31, 8.07
 5/24, 255702, 595693, 8.42, 14.3, 8.04
 5/25, 257174, 597752, 8.42, 14.3, 8.05
 5/26, 258757, 599891, 8.4, 14.28, 8.07
 5/27, 260070, 601742, 8.4, 14.28, 7.96
 5/28, 261488, 603745, 8.31, 14.19, 8.05
 5/29, 262967, 605767, 8.26, 14.14, 7.93
 5/30, 264513, 607863, 8.26, 14.14, 7.73
 5/31, 265890, 609818, 8.26, 14.14, 7.39
 6/1, 267285, 611760, 8.24, 14.12, 7.22
 6/2, 268668, 613646, 8.29, 14.17, 7.08
 6/3, 270056, 615615, 8.27, 14.15, 6.99
 6/4, 271377, 617452, 8.25, 14.13, 6.81
 6/5, 272757, 619402, 8.24, 14.12, 6.6
 6/6, 274311, 621534, 8.21, 14.09, 6.43
 6/7, 275826, 623595, 8.21, 14.09, 6.3
 6/8, 277194, 625602, 8.2, 14.08, 6.22
 6/9, 278634, 627883, 8.15, 14.03, 6.16
 6/10, 280112, 629984, 8.12, 14.0, 6.1
 6/11, 281545, 632021, 8.1, 13.98, 6.06
 6/12, 283030, 634027, 8.11, 13.99, 6.05
 6/13, 284633, 636224, 8.1, 13.98, 6.03
 6/14, 285983, 638114, 8.1, 13.98, 5.98
 6/15, 285789, 640069, 8.09, 13.97, 6.0
 6/16, 287091, 641992, 8.09, 13.97, 5.92
 6/17, 288302, 643945, 8.07, 13.95, 6.01
 6/18, 289523, 645849, 8.02, 13.9, 5.98
 6/19, 290709, 647644, 8.03, 13.91, 5.9
 6/20, 292099, 649648, 8.02, 13.9, 5.98
 6/21, 293324, 651379, 8.03, 13.91, 5.97
 6/22, 294549, 653140, 8.01, 13.89, 5.97
 6/23, 295815, 654966, 8.01, 13.89, 5.97
 6/24, 296961, 656615, 8.0, 13.88, 5.97
 6/25, 298079, 658823, 7.99, 13.87, 5.97
 6/26, 299306, 660546, 7.98, 13.86, 5.96
 6/27, 300699, 662373, 7.96, 13.84, 5.96
 6/28, 301924, 664049, 7.94, 13.82, 5.97
 6/29, 303159, 665681, 7.94, 13.82, 5.96
 6/30, 304555, 667354, 7.92, 13.8, 5.96
 7/1, 305744, 669021, 7.88, 13.76, 5.93
 7/2, 307028, 670857, 7.88, 13.76, 5.95
 7/3, 308347, 672643, 7.87, 13.75, 5.91
 7/4, 309878, 674669, 7.86, 13.74, 5.93
 7/5, 311264, 676534, 7.88, 13.76, 5.94
 7/6, 312512, 678293, 7.87, 13.75, 5.94
 7/7, 313810, 680037, 7.84, 13.72, 5.93
 7/8, 315159, 681981, 7.81, 13.69, 5.94
 7/9, 312854, 683273, 7.82, 13.7, 5.93
 7/10, 310014, 684522, 7.74, 13.62, 5.95
 7/11, 308100, 685636, 7.73, 13.61, 5.78
 7/12, 307129, 686821, 7.74, 13.62, 5.94
 7/13, 306237, 687994, 7.73, 13.61, 5.92
 7/14, 305666, 689256, 7.74, 13.62, 5.93
 7/15, 305153, 690566, 7.73, 13.61, 5.92
 7/16, 304715, 691679, 7.7, 13.58, 5.93
 7/17, 304490, 692778, 7.66, 13.54, 5.93
 7/18, 304168, 693882, 7.68, 13.56, 5.93
 7/19, 304095, 694961, 7.67, 13.55, 5.93
 7/20, 304074, 696179, 7.67, 13.55, 5.94
 7/21, 304000, 697203, 7.68, 13.56, 5.92
 7/22, 304051, 698295, 7.67, 13.55, 5.89
 7/23, 304032, 699281, 7.68, 13.56, 5.83
 7/24, 304091, 700299, 7.67, 13.55, 5.92
 7/25, 304197, 701306, 7.67, 13.55, 5.64
 7/26, 304280, 701835, 7.69, 13.57, 5.91
 7/27, 303060, 703218, 7.7, 13.58, 3.38
 7/28, 303216, 704258, 7.7, 13.58, 8.49
 7/29, 303329, 705243, 7.73, 13.61, 5.94
 7/30, 303361, 705966, 7.74, 13.62, 5.95
 7/31, 303178, 706638, 7.7, 13.58, 5.96
 8/1, 303112, 707289, 7.71, 13.59, 5.95
 8/2, 302942, 707625, 7.71, 13.59, 5.88
 8/3, 302886, 708130, 7.64, 13.52, 5.97
 8/4, 303625, 710235, 7.59, 13.47, 5.99
 8/5, 304268, 712053, 7.57, 13.45, 5.99
 8/6, 304599, 713076, 7.09, 12.97, 6.05
 8/7, 304758, 713965, 7.06, 12.94, 6.01
 8/8, 304459, 714142, 7.05, 12.93, 5.9
 8/9, 304341, 714344, 7.05, 12.93, 5.9
 8/10, 304222, 714608, 7.01, 12.89, 5.9
 8/11, 304169, 714883, 7.01, 12.89, 5.89
 8/12, 304134, 715149, 6.99, 12.87, 5.88
 8/13, 304025, 715426, 7.0, 12.88, 5.89
 8/14, 303958, 715745, 7.69, 13.57, 5.89
 8/15, 303857, 716116, 7.73, 13.61, 5.93
 8/16, 303781, 716403, 7.73, 13.61, 5.93
 8/17, 303758, 716695, 7.71, 13.59, 5.93
 8/18, 303738, 716989, 7.66, 13.54, 5.94
 8/19, 303644, 717254, 7.71, 13.59, 5.93
 8/20, 308407, 726980, 7.66, 13.54, 5.92
 8/21, 309076, 728626, 7.65, 13.53, 5.91
 8/22, 309479, 729896, 7.71, 13.59, 5.92
 8/23, 309894, 731015, 7.77, 13.65, 5.92
 8/24, 310236, 732082, 7.8, 13.68, 5.71
 8/25, 310505, 733062, 7.79, 13.67, 5.9
 8/26, 310832, 734050, 7.76, 13.64, 5.9
 8/27, 311247, 735036, 7.72, 13.6, 5.92
 8/28, 311518, 735930, 7.71, 13.59, 5.83
 8/29, 311777, 736930, 7.69, 13.57, 5.93
 8/30, 312145, 737939, 7.58, 13.46, 5.95
 8/31, 312487, 738963, 7.54, 13.42, 5.89
 9/1, 312821, 739947, 7.48, 13.36, 5.93
 9/2, 313144, 740854, 7.44, 13.32, 5.91
 9/3, 313507, 741795, 7.4, 13.28, 5.92
 9/4, 313811, 742738, 7.34, 13.22, 5.93
 9/5, 314089, 743701, 7.25, 13.13, 5.92
 9/6, 314412, 744605, 7.23, 13.11, 5.93
 9/7, 314741, 745459, 7.21, 13.09, 5.89
 9/8, 315018, 746341, 7.19, 13.07, 5.9
 9/9, 315409, 747395, 7.18, 13.06, 5.83
 9/10, 315705, 748276, 7.17, 13.05, 5.79
 9/11, 316014, 749336, 7.1, 12.98, 5.91
 9/12, 316253, 750624, 7.08, 12.96, 5.9
 9/13, 316677, 751530, 7.05, 12.93, 5.9
 9/14, 316955, 752426, 7.06, 12.94, 5.89
 9/15, 317407, 753443, 7.05, 12.93, 5.9
 9/16, 317784, 754280, 7.02, 12.9, 5.9
 9/17, 318106, 755173, 6.99, 12.87, 5.89
 9/18, 318958, 756069, 6.99, 12.87, 5.89
 9/19, 319276, 756918, 6.98, 12.86, 5.87
 9/20, 319628, 757740, 6.98, 12.86, 5.89
 9/21, 319999, 758647, 6.98, 12.86, 5.89
 9/22, 320330, 759505, 6.95, 12.83, 5.88
 9/23, 320476, 760257, 6.96, 12.84, 5.88
 9/24, 320752, 761122, 6.95, 12.83, 5.88
 9/25, 321041, 761905, 6.98, 12.86, 5.78
 9/26, 321232, 762667, 6.96, 12.84, 5.88
 9/27, 321536, 763460, 6.95, 12.83, 5.87
 9/28, 322191, 765055, 6.93, 12.81, 5.89
 9/29, 322799, 766672, 6.92, 12.8, 5.88
 9/30, 322938, 767442, 6.89, 12.77, 5.88
 10/1, 323223, 768202, 6.87, 12.75, 5.89
 10/2, 323524, 769028, 6.86, 12.74, 5.87
 10/3, 323798, 769858, 6.86, 12.74, 5.88
 10/4, 324121, 770678, 6.86, 12.74, 5.88
 10/5, 324432, 771502, 6.84, 12.72, 5.89
 10/6, 324777, 772339, 6.84, 12.72, 5.88
 10/7, 325110, 773141, 6.82, 12.7, 5.88
 10/8, 325450, 773925, 6.8, 12.68, 5.85
 10/9, 325748, 774714, 6.8, 12.68, 5.87
 10/10, 326023, 775483, 6.81, 12.69, 5.87
 10/11, 326312, 776244, 6.82, 12.7, 5.88
 10/12, 326565, 777101, 6.8, 12.68, 5.87
 10/13, 326944, 778020, 6.79, 12.67, 5.86
 10/14, 327404, 778915, 6.94, 12.82, 5.81
 10/15, 327663, 779749, 6.91, 12.79, 5.84
 10/16, 327991, 780615, 6.9, 12.78, 5.88
 10/17, 328394, 781487, 6.92, 12.8, 5.89
 10/18, 328764, 782310, 6.91, 12.79, 5.88
 10/19, 329181, 783245, 6.92, 12.8, 5.89
 10/20, 329529, 784133, 6.9, 12.78, 5.89
 10/21, 329881, 784965, 6.9, 12.78, 5.89
 10/22, 330231, 785810, 6.88, 12.76, 5.87
 10/23, 330584, 786676, 6.85, 12.73, 5.88
 10/24, 330911, 787518, 6.85, 12.73, 5.88
 10/25, 331258, 788333, 6.83, 12.71, 5.88
 10/26, 331640, 789185, 6.84, 12.72, 5.87
 10/27, 332037, 790129, 6.85, 12.73, 5.88
 10/28, 332434, 791044, 6.83, 12.71, 5.86
 10/29, 332784, 791870, 6.84, 12.72, 5.87
 10/30, 333063, 792516, 6.85, 12.73, 5.87
 10/31, 333535, 793665, 6.83, 12.71, 4.09
 11/1, 333996, 794608, 6.86, 12.74, 7.67
 11/2, 334456, 795627, 6.86, 12.74, 5.87
 11/3, 334951, 796674, 6.85, 12.73, 5.89
 11/4, 335392, 797626, 6.83, 12.71, 5.89
 11/5, 335800, 798586, 6.83, 12.71, 5.87
 11/6, 336213, 799633, 6.81, 12.69, 5.88
,,, 6.81, 12.69, 5.88
