chartlabels,chartdata
 9/18, 108884
 9/19, 119655
 9/20, 114980
 9/21, 123453
 9/22, 106959
 9/23, 122471
 9/24, 134000
 9/25, 108697
 9/26, 132174
 9/27, 125080
 9/28, 125888
 9/29, 114819
 9/30, 112666
 10/1, 118409
 10/2, 121148
 10/3, 129248
 10/4, 132162
 10/5, 137815
 10/6, 114797
 10/7, 147804
 10/8, 141974
 10/9, 135333
 10/10, 135127
 10/11, 150794
 10/12, 124616
 10/13, 144393
 10/14, 157762
 10/15, 111474
 10/16, 92118
 10/17, 110438
 10/18, 99678
 10/19, 96597
 10/20, 119638
 10/21, 153435
 10/22, 120201
 10/23, 136362
 10/24, 165346
 10/25, 177931
 10/26, 135720
 10/27, 122978
 10/28, 134110
 10/29, 132532
 10/30, 57420
 10/31, 92583
 11/1, 119618
 11/2, 98437
 11/3, 104857
 11/4, 104862
 11/5, 104998
 11/6, 100664
 11/7, 111547
 11/8, 104970
 11/9, 99803
 11/10, 102352
 11/11, 115048
 11/12, 112538
 11/13, 112543
 11/14, 99384
 11/15, 108519
 11/16, 103429
 11/17, 93688
 11/18, 108320
 11/19, 110648
 11/20, 106201
 11/21, 102143
 11/22, 91549
 11/23, 101453
 11/24, 105769
 11/25, 100650
 11/26, 89109
 11/27, 104308
 11/28, 98596
 11/29, 96261
 11/30, 114952
 12/1, 86205
 12/2, 98637
 12/3, 97492
 12/4, 91858
 12/5, 91171
 12/6, 106281
 12/7, 87180
 12/8, 98559
 12/9, 94578
 12/10, 93039
 12/11, 92736
 12/12, 88736
 12/13, 105527
 12/14, 84717
 12/15, 80900
 12/16, 79502
 12/17, 81436
 12/18, 107876
 12/19, 71332
 12/20, 108197
 12/21, 76562
 12/22, 109650
 12/23, 84068
 12/24, 81877
 12/25, 83731
 12/26, 93615
 12/27, 135460
 12/28, 87738
 12/29, 89508
 12/30, 91193
 12/31, 87682
 1/1, 84656
 1/2, 83788
 1/3, 109512
 1/4, 85963
 1/5, 88517
 1/6, 117192
 1/7, 118261
 1/8, 102619
 1/9, 93010
 1/10, 86536
 1/11, 87667
 1/12, 96430
 1/13, 84101
 1/14, 76653
 1/15, 78044
 1/16, 88641
 1/17, 85135
 1/18, 79919
 1/19, 70823
 1/20, 81328
 1/21, 80297
 1/22, 92420
 1/23, 89394
