Market Cap (USD),Circulating Supply,Total Supply,Public Treasury  ,total_staked_ICX,Total Staked  ,Circulation Staked  ,Total Voted  
"262,742,218","565,827,087","856,682,869","7,270,198","337,179,917",39.36%,59.59%,36.53%
,,,,,,,
"271,364,546","564,850,839","855,819,039","6,998,314","335,868,376",39.25%,59.46%,36.34%
,,,,,,,
-3.18%,0.17%,0.10%,3.88%,0.39%,,,
