Market Cap (USD),Circulating Supply,Total Supply,Public Treasury  ,total_staked_ICX,Total Staked  ,Circulation Staked  ,Total Voted  
"1,536,500,152","596,878,609","883,970,472","3,889,673","393,723,363",44.54%,65.96%,41.70%
,,,,,,,
"1,281,081,181","595,066,559","882,155,750","3,651,216","397,818,713",45.10%,66.85%,42.24%
,,,,,,,
19.94%,0.30%,0.21%,6.53%,-1.03%,,,
