Market Cap (USD),Circulating Supply,Total Supply,Public Treasury  ,total_staked_ICX,Total Staked  ,Circulation Staked  ,Total Voted  ,,
"209,103,915","558,118,675","849,947,755","6,557,843","309,034,741",36.36%,55.37%,34.83%,,296293185
,,,,,,,,,
,,,,,,,,,
"224,115,849","557,963,386","848,966,547","6,668,275","309,091,573",36.41%,55.40%,34.90%,,295978340
,,,,,,,,,
,0.03%,0.12%,-1.66%,-0.02%,0.05%,0.03%,0.07%,,0.11%
