selectDates,balanceCounts,totalCounts,annual_real_yield_list,annual_reward_list,annual_inflation_list
 4/29, 220565, 546133, 10.4, 16.32, 8.58
 4/30, 221996, 548120, 10.34, 16.26, 8.5
 5/1, 223361, 550086, 10.29, 16.21, 8.61
 5/2, 224714, 552151, 10.26, 16.18, 8.58
 5/3, 226032, 554149, 10.26, 16.18, 8.62
 5/4, 227273, 556084, 10.25, 16.17, 8.59
 5/5, 228472, 557995, 10.23, 16.15, 8.59
 5/6, 229816, 559955, 10.22, 16.14, 8.55
 5/7, 231012, 561741, 10.2, 16.12, 8.58
 5/8, 232305, 563605, 10.18, 16.1, 8.52
 5/9, 233827, 565658, 10.18, 16.1, 8.47
 5/10, 235048, 567339, 10.18, 16.1, 8.42
 5/11, 236232, 569098, 10.16, 16.08, 8.37
 5/12, 237537, 570947, 10.12, 16.04, 8.23
 5/13, 238902, 572911, 10.09, 16.01, 8.24
 5/14, 240351, 574790, 10.09, 16.01, 8.23
 5/15, 242291, 577210, 10.04, 15.96, 8.21
 5/16, 243909, 579269, 8.34, 14.26, 8.38
 5/17, 245282, 581108, 8.32, 14.24, 8.23
 5/18, 246700, 583094, 8.32, 14.24, 8.26
 5/19, 248088, 585033, 8.4, 14.32, 8.25
 5/20, 249590, 587111, 8.4, 14.32, 8.23
 5/21, 251071, 589262, 8.4, 14.32, 8.17
 5/22, 252587, 591373, 8.41, 14.33, 8.14
 5/23, 254148, 593577, 8.39, 14.31, 8.07
 5/24, 255702, 595693, 8.38, 14.3, 8.04
 5/25, 257174, 597752, 8.38, 14.3, 8.05
 5/26, 258757, 599891, 8.36, 14.28, 8.07
 5/27, 260070, 601742, 8.36, 14.28, 7.96
 5/28, 261488, 603745, 8.27, 14.19, 8.05
 5/29, 262967, 605767, 8.22, 14.14, 7.93
 5/30, 264513, 607863, 8.22, 14.14, 7.73
 5/31, 265890, 609818, 8.22, 14.14, 7.39
 6/1, 267285, 611760, 8.2, 14.12, 7.22
 6/2, 268668, 613646, 8.25, 14.17, 7.08
 6/3, 270056, 615615, 8.23, 14.15, 6.99
 6/4, 271377, 617452, 8.21, 14.13, 6.81
 6/5, 272757, 619402, 8.2, 14.12, 6.6
 6/6, 274311, 621534, 8.17, 14.09, 6.43
 6/7, 275826, 623595, 8.17, 14.09, 6.3
 6/8, 277194, 625602, 8.16, 14.08, 6.22
 6/9, 278634, 627883, 8.11, 14.03, 6.16
 6/10, 280112, 629984, 8.08, 14.0, 6.1
 6/11, 281545, 632021, 8.06, 13.98, 6.06
 6/12, 283030, 634027, 8.07, 13.99, 6.05
 6/13, 284633, 636224, 8.06, 13.98, 6.03
 6/14, 285983, 638114, 8.06, 13.98, 5.98
 6/15, 285789, 640069, 8.05, 13.97, 6.0
 6/16, 287091, 641992, 8.05, 13.97, 5.92
 6/17, 288302, 643945, 8.03, 13.95, 6.01
 6/18, 289523, 645849, 7.98, 13.9, 5.98
 6/19, 290709, 647644, 7.99, 13.91, 5.9
 6/20, 292099, 649648, 7.98, 13.9, 5.98
 6/21, 293324, 651379, 7.99, 13.91, 5.97
 6/22, 294549, 653140, 7.97, 13.89, 5.97
 6/23, 295815, 654966, 7.97, 13.89, 5.97
 6/24, 296961, 656615, 7.96, 13.88, 5.97
 6/25, 298079, 658823, 7.95, 13.87, 5.97
 6/26, 299306, 660546, 7.94, 13.86, 5.96
 6/27, 300699, 662373, 7.92, 13.84, 5.96
 6/28, 301924, 664049, 7.9, 13.82, 5.97
 6/29, 303159, 665681, 7.9, 13.82, 5.96
 6/30, 304555, 667354, 7.88, 13.8, 5.96
 7/1, 305744, 669021, 7.84, 13.76, 5.93
 7/2, 307028, 670857, 7.84, 13.76, 5.95
 7/3, 308347, 672643, 7.83, 13.75, 5.91
 7/4, 309878, 674669, 7.82, 13.74, 5.93
 7/5, 311264, 676534, 7.84, 13.76, 5.94
 7/6, 312512, 678293, 7.83, 13.75, 5.94
 7/7, 313810, 680037, 7.8, 13.72, 5.93
 7/8, 315159, 681981, 7.77, 13.69, 5.94
