Market Cap (USD),Circulating Supply,Total Supply,Public Treasury  ,total_staked_ICX,Total Staked  ,Circulation Staked  ,Total Voted  ,,
"210,028,287","559,450,235","850,887,666","6,595,933","321,879,009",37.83%,57.53%,36.37%,,309322800
,,,,,,,,,
,,,,,,,,,
"209,103,915","558,118,675","849,947,755","6,557,843","309,034,741",36.36%,55.37%,34.83%,,296293185
,,,,,,,,,
,0.24%,0.11%,0.58%,4.16%,4.04%,3.90%,4.42%,,4.40%
