Market Cap (USD),Circulating Supply,Total Supply,Public Treasury  ,total_staked_ICX,Total Staked  ,Circulation Staked  ,Total Voted  
"241,253,824","577,293,644","869,134,114","7,055,361","353,941,283",40.72%,61.31%,38.15%
,,,,,,,
"236,427,045","575,473,412","867,299,062","6,526,770","349,184,919",40.26%,60.68%,37.66%
,,,,,,,
2.04%,0.32%,0.21%,8.10%,1.36%,1.14%,1.04%,1.30%
