Market Cap (USD),Circulating Supply,Total Supply,Public Treasury  ,total_staked_ICX,Total Staked  ,Circulation Staked  ,Total Voted  
"1,281,081,181","595,066,559","882,155,750","3,651,216","397,818,713",45.10%,66.85%,42.24%
,,,,,,,
"1,091,990,060","593,220,331","880,356,815","3,367,038","377,866,862",42.92%,63.70%,40.06%
,,,,,,,
,,,,,,,
17.32%,0.31%,0.20%,8.44%,5.28%,,,
