selectDates,balanceCounts,totalCounts,annual_real_yield_list,annual_reward_list,annual_inflation_list
 1/7, 124473, 372716, 15.46, 19.41, 8.61
 1/8, 124970, 374110, 15.41, 19.36, 8.61
 1/9, 125498, 375635, 15.37, 19.32, 8.61
 1/10, 125949, 376958, 15.32, 19.27, 8.64
 1/11, 126428, 378301, 15.31, 19.26, 8.81
 1/12, 126860, 379664, 15.28, 19.23, 8.76
 1/13, 127038, 380227, 15.25, 19.2, 4.11
 1/15, 128145, 383167, 15.25, 19.2, 10.04
 1/16, 128519, 384349, 15.21, 19.16, 10.03
 1/17, 128917, 385563, 15.17, 19.12, 8.53
 1/18, 129368, 386959, 15.13, 19.08, 8.8
 1/19, 129777, 388325, 15.11, 19.06, 8.72
 1/20, 130097, 389415, 15.1, 19.05, 8.77
 1/21, 130513, 390664, 15.07, 19.02, 8.79
 1/22, 130887, 391665, 14.95, 18.9, 8.81
 1/23, 131336, 392480, 14.92, 18.87, 8.79
 1/24, 131823, 392947, 14.89, 18.84, 8.8
 1/25, 132277, 393381, 14.83, 18.78, 8.8
 1/26, 132869, 393955, 14.8, 18.75, 8.81
 1/27, 133451, 394555, 14.76, 18.71, 8.82
 1/28, 133691, 394810, 14.6, 18.55, 8.84
 1/29, 134497, 399490, 14.55, 18.5, 8.83
 1/30, 135020, 400969, 14.54, 18.49, 8.79
 1/31, 135644, 402292, 14.48, 18.43, 8.67
 2/1, 136379, 403718, 14.48, 18.43, 8.83
 2/2, 137037, 405274, 14.45, 18.4, 8.55
 2/3, 137713, 406715, 14.44, 18.39, 8.5
 2/4, 138488, 408578, 14.36, 18.31, 8.75
 2/5, 139270, 410150, 14.61, 18.56, 8.73
 2/6, 139660, 411483, 14.67, 18.62, 8.62
 2/7, 140686, 413172, 14.65, 18.6, 8.63
 2/8, 141582, 414754, 14.6, 18.55, 8.61
 2/9, 142312, 416153, 14.55, 18.5, 8.62
 2/10, 142899, 417290, 14.52, 18.47, 8.71
 2/11, 143478, 418413, 14.49, 18.44, 8.61
 2/12, 144041, 419504, 14.43, 18.38, 8.55
 2/13, 144556, 420594, 14.4, 18.35, 8.73
 2/14, 145199, 421791, 14.36, 18.31, 8.65
 2/15, 145883, 423093, 14.51, 18.46, 8.69
 2/16, 146477, 424293, 14.52, 18.47, 8.68
 2/17, 147013, 425370, 14.48, 18.43, 8.59
 2/18, 147498, 426428, 14.44, 18.39, 8.55
 2/19, 148041, 427503, 14.41, 18.36, 8.58
 2/20, 148644, 428648, 14.38, 18.33, 8.41
 2/21, 149188, 429735, 14.35, 18.3, 8.56
 2/22, 149784, 430869, 14.3, 18.25, 8.37
 2/23, 150378, 432045, 14.27, 18.22, 8.17
 2/24, 150882, 433849, 14.23, 18.18, 8.43
 2/25, 151378, 434811, 14.17, 18.12, 8.13
 2/26, 151925, 435929, 14.11, 18.06, 8.37
 2/27, 152431, 436962, 14.06, 18.01, 8.31
 2/28, 152952, 437935, 14.0, 17.95, 8.31
 2/29, 153720, 439309, 13.99, 17.94, 8.16
 3/1, 154441, 440595, 13.98, 17.93, 8.25
 3/2, 155077, 441725, 13.92, 17.87, 8.27
 3/3, 155664, 442855, 13.97, 17.92, 8.15
 3/4, 156289, 443926, 13.95, 17.9, 8.25
 3/5, 156961, 445141, 13.91, 17.86, 8.23
 3/6, 157663, 446368, 13.91, 17.86, 8.22
