Market Cap (USD),Circulating Supply,Total Supply,Public Treasury  ,total_staked_ICX,Total Staked  ,Circulation Staked  ,Total Voted  
"207,783,809","572,542,847","864,503,016","6,451,043","350,265,686",40.52%,61.18%,37.84%
,,,,,,,
"196,686,457","572,932,852","863,466,291","7,868,416","348,311,589",40.34%,60.79%,36.94%
,,,,,,,
,,,,,,,
5.64%,-0.07%,0.12%,-18.01%,0.56%,0.004462072,0.006415529,0.024363833
