IRC Token,Amount,No. of Transactions
OMM,3846603.948477979,18934
IUSDC,3728461.401337,11817
sICX,8231567.268357302,11291
bnUSD,5054092.857161354,8108
BALN,722990.8493945057,4356
USDS,4773151.248319935,3958
oIUSDC,495598.609162,2764
PGT,3000.0,1293
oUSDS,1621055.848167609,840
METX,774960.1821083928,836
oICX,1590975.8737783458,798
dIUSDC,605552.405363,530
dUSDS,1279612.1097257943,432
UP,8.72544927516303,75
TAP,1254406.8862633267,61
SEED,236.420928,38
LDX,3927.8671875,30
ACT,1620.0,18
ICXIOU,3390.0,1
IAM,1245.0000000000002,1
uMETX,0.0050198495214217,1
