delegator,week,how_many_prep_voted,raffle_tickets
hx0f16f2e17ded0a63c9651643cdfdbb609ffda2a2,2020-37,100,10
hxb0d886f01ca2697ce9961232a754bb3923142128,2020-37,100,10
hxb0d886f01ca2697ce9961232a754bb3923142128,2020-37,100,10
hxb0d886f01ca2697ce9961232a754bb3923142128,2020-37,100,10
hxb0d886f01ca2697ce9961232a754bb3923142128,2020-37,100,10
hxb0d886f01ca2697ce9961232a754bb3923142128,2020-37,100,10
hxb0d886f01ca2697ce9961232a754bb3923142128,2020-37,100,10
hxb0d886f01ca2697ce9961232a754bb3923142128,2020-37,100,10
hxb0d886f01ca2697ce9961232a754bb3923142128,2020-37,100,10
hxb0d886f01ca2697ce9961232a754bb3923142128,2020-37,100,10
hxb0d886f01ca2697ce9961232a754bb3923142128,2020-37,100,10
hx0f16f2e17ded0a63c9651643cdfdbb609ffda2a2,2020-37,100,10
hx0f16f2e17ded0a63c9651643cdfdbb609ffda2a2,2020-37,100,10
hx0f16f2e17ded0a63c9651643cdfdbb609ffda2a2,2020-37,100,10
hx0f16f2e17ded0a63c9651643cdfdbb609ffda2a2,2020-37,100,10
hx0f16f2e17ded0a63c9651643cdfdbb609ffda2a2,2020-37,100,10
hx0f16f2e17ded0a63c9651643cdfdbb609ffda2a2,2020-37,100,10
hx0f16f2e17ded0a63c9651643cdfdbb609ffda2a2,2020-37,100,10
hx0f16f2e17ded0a63c9651643cdfdbb609ffda2a2,2020-37,100,10
hx0f16f2e17ded0a63c9651643cdfdbb609ffda2a2,2020-37,100,10
hx1b4e0df6efc52a2b567f6b254353e14c7a2b479f,2020-37,47,4
hx1b4e0df6efc52a2b567f6b254353e14c7a2b479f,2020-37,47,4
hx1b4e0df6efc52a2b567f6b254353e14c7a2b479f,2020-37,47,4
hx1b4e0df6efc52a2b567f6b254353e14c7a2b479f,2020-37,47,4
hxa16dc10855a6a7d1c455d324f9c7776ae1290133,2020-37,34,3
hxa16dc10855a6a7d1c455d324f9c7776ae1290133,2020-37,34,3
hxa16dc10855a6a7d1c455d324f9c7776ae1290133,2020-37,34,3
hx463b1ee3016d7244516413acc69de2f1cdb268fd,2020-37,33,3
hx463b1ee3016d7244516413acc69de2f1cdb268fd,2020-37,33,3
hx463b1ee3016d7244516413acc69de2f1cdb268fd,2020-37,33,3
hx4238c8c7ff1d53d4f91c9b5460d1ac037f642da4,2020-37,28,2
hx4238c8c7ff1d53d4f91c9b5460d1ac037f642da4,2020-37,28,2
hxc35919c430476b095652bc91056ba1baf0420f9e,2020-37,25,2
hxf159b2029f3d6e8823157033ada47b76e8903a4f,2020-37,25,2
hxc35919c430476b095652bc91056ba1baf0420f9e,2020-37,25,2
hxf159b2029f3d6e8823157033ada47b76e8903a4f,2020-37,25,2
hxee4ed659a48922c4f5dbe97ab3fcdc35a7010924,2020-37,23,2
hx171a92e51f8f199d509c61699897bdc93f265761,2020-37,23,2
hxee4ed659a48922c4f5dbe97ab3fcdc35a7010924,2020-37,23,2
hx171a92e51f8f199d509c61699897bdc93f265761,2020-37,23,2
hx2e48a07fc66eb6de9cebb40d6fc3b6407174b92e,2020-37,22,2
hx2e48a07fc66eb6de9cebb40d6fc3b6407174b92e,2020-37,22,2
hx284251e89505004dc28771575fd2199281cd3b35,2020-37,21,2
