IRC Token,Amount,No. of Transactions
OMM,4559836.809566527,20200
sICX,7259256.614814553,11156
IUSDC,8040900.03198,11003
bnUSD,4433212.71021819,8054
BALN,671501.118161357,7608
USDS,4702049.110177487,3786
oIUSDC,2078080.263989,2893
PGT,3002.0260798198933,967
METX,1006332.7172749406,843
oICX,1508070.3649742808,803
oUSDS,1301982.7374391777,757
dIUSDC,742635.311306,348
dUSDS,708366.6603668083,344
UP,8.876606592832044,121
TAP,1534368.3756876837,74
SEED,482.224085,62
LDX,9369.0,13
ICXIOU,105522.97682,12
EPX,5.2,8
HGC,8000.0,2
ACT,200.0,2
