delegator,biweek,how_many_prep_voted,raffle_tickets,prize_type,turn,winnings
hxb74fd8df615edb4894923e72ac0e1468497e0c30,2020-47 & 2020-48,11,1,grand_prize,Wheel_of_Fortune,US$ 250
hxb0d886f01ca2697ce9961232a754bb3923142128,2020-47 & 2020-48,100,10,small_prize,first,US$ 40
hx049eec5560f8518cffce2ab74fce56ad31fc79c6,2020-47 & 2020-48,56,5,small_prize,first,US$ 30
hx14c5d80083258bca5146f7c1eecb780ad0c0f930,2020-47 & 2020-48,52,5,small_prize,first,US$ 30
hx1b4e0df6efc52a2b567f6b254353e14c7a2b479f,2020-47 & 2020-48,47,4,small_prize,first,US$ 30
hxd7d52c9ad84b08757a1d9a95234d6a62849f103a,2020-47 & 2020-48,42,4,small_prize,first,US$ 25
hxa16dc10855a6a7d1c455d324f9c7776ae1290133,2020-47 & 2020-48,34,3,small_prize,second,US$ 25
hx42967fdffaacf8b41362b3574d631a17c320ff49,2020-47 & 2020-48,33,3,small_prize,first,US$ 20
hxd2b801100a49fb8cdca2df399e14f06b96acafa8,2020-47 & 2020-48,31,3,small_prize,first,US$ 20
hx171a92e51f8f199d509c61699897bdc93f265761,2020-47 & 2020-48,23,2,small_prize,first,US$ 20
hx31353603fb6a7943652efa55ea833aa3b549e35f,2020-47 & 2020-48,11,1,small_prize,first,US$ 10
