IRC Token,Amount,No. of Transactions
OMM,2281831.8218524577,9207
sICX,3866306.4123134604,7234
IUSDC,2177879.903514,6401
bnUSD,2577112.118907246,3920
BALN,478963.97078249854,3271
oIUSDC,643228.331905,2522
CFT,16259295.62137285,2186
USDS,2461827.2207448613,1726
METX,441225.4748583991,811
PGT,3000.0,721
oUSDS,789793.2200417361,321
oICX,478559.96155115083,301
dIUSDC,164364.1222,162
UP,5.349857100298177,119
TAP,1191512.580207972,76
dUSDS,630396.8960416603,69
SEED,1181.894803,60
EPX,28.175,9
LDX,1638.40625,6
HGC,421250.0,6
ACT,600.0,6
SSX,198.0,1
SPORTS,38612992.0,1
IAM,668.2353626713475,1
BALW,18.232638,1
