IRC Token,Amount,No. of Transactions
bnUSD,4170679.135401678,9172
sICX,5146254.232014874,8828
OMM,1402268.58217651,3688
METX,8050271.135096362,3548
BALN,406910.55570763483,3066
USDS,2235351.8749060226,2223
IUSDC,1243569.800626,2144
GBET,1216217.0,830
CFT,223175.68148019732,812
PGT,3000.0,617
oICX,1054230.6535858847,272
oUSDS,725112.4134361711,266
dIUSDC,363243.352143,128
oIUSDC,247641.32061,126
UP,4.695573558643324,122
dUSDS,405231.37182153814,68
TAP,797945.8443555823,63
SEED,134.453408,59
IUSDT,3.99226,5
ACT,300.0,3
LDX,1500.0,3
HGC,1000.0,1
uSEED,1.456634043e-07,1
uUP,0.0595335497231374,1
