IRC Token,Amount,No. of Transactions
bnUSD,2504341.704138714,3686
sICX,3661544.1886199214,3665
BALN,407400.8832948243,1949
OMM,2941170.929648918,1590
METX,10564677.557892878,1469
IUSDC,786420.828433,1002
USDS,321077.05742119165,583
GBET,736249.6032051207,387
oIUSDC,175542.648257,139
oICX,306748.3400864785,104
dIUSDC,84596.981823,90
CFT,308594.19625496987,80
obnUSD,144853.20850143302,63
TAP,3642571.848685823,56
IUSDT,4294.126985999999,44
UP,2.9717556825799054,43
oUSDS,28495.610055914196,38
dUSDS,49616.115925165956,33
dbnUSD,23627.536326971072,33
LDX,3747.5,12
ACT,400.0,4
HGC,102000.0,3
SEED,2.974725,1
