IRC Token,Amount,No. of Transactions
OMM,3106351.6598476483,14016
BALN,810757.4092386573,7871
sICX,5946261.720747483,7754
IUSDC,2812242.133148,7708
bnUSD,5344987.0210569035,6164
LDX,417854.546875,3313
USDS,2239896.3082928597,2719
oIUSDC,377188.58910599997,2536
CFT,702252.0106484281,1261
METX,391596.34123763663,821
PGT,3000.0,690
oICX,687366.8001599165,429
oUSDS,735584.4660666257,324
dIUSDC,377794.291402,181
dUSDS,139798.4587916344,86
UP,0.9459899302407566,70
TAP,384138.484482156,67
SEED,57.524273,34
IWIN,26441.3222,17
EPX,8.13,3
ACT,200.0,2
HGC,5000.0,1
uMETX,0.0508553946485894,1
uUP,5.04066582513e-05,1
