IRC Token,Amount,No. of Transactions
bnUSD,11491645.421772752,9890
sICX,9510502.768517042,9464
BALN,3524995.1608888553,4388
OMM,4449102.648774361,2698
USDS,993452.7211297839,1112
GBET,2012044.7026853652,1105
IUSDC,1368444.614699,979
METX,5281959.406056516,897
oICX,1384182.4399304485,335
obnUSD,1489892.1938950222,255
oOMM,442837.27066457015,170
oIUSDC,457373.168485,167
CFT,1087637.9565005365,147
oUSDS,311157.6509257474,95
dbnUSD,157112.68195939367,92
oBALN,193864.1688298759,86
dIUSDC,185520.836936,80
dUSDS,64754.06382974463,76
TAP,1579690.7752934257,64
IUSDT,3024.1479329999997,51
UP,7.307004616204139,47
dBALN,51434.52511588246,41
SPORTS,113.1,18
LDX,10069.0,13
ICXIOU,48786.125439999996,6
