IRC Token,Amount,No. of Transactions
sICX,931515.2256840657,2274
bnUSD,1123478.4763773133,1863
BALN,280712.14840679185,1788
OMM,1172959.3536076548,1169
METX,615897.7868969728,998
GBET,1026622.1797304532,787
IUSDC,40448.662489,440
USDS,510322.89779616444,281
oICX,37540.198626952784,108
oIUSDC,13421.480615999999,97
TAP,2458303.8917342047,67
CFT,37541.21924581906,65
obnUSD,239833.39659193216,61
dIUSDC,882.5651349999999,54
oUSDS,161789.0648672666,49
LDX,8390.0,43
UP,5.07373779911575,39
dbnUSD,78169.95938300082,38
dUSDS,94530.81925486501,23
IUSDT,981.343882,22
HGC,86000.0,7
SSX,600.0,1
