IRC Token,Amount,No. of Transactions,Price in USD,Value Transferred in USD
bnUSD,1521836.3510943458,2995.0,1.004140178753186,1528137.0256209727
sICX,3722875.67072778,2939.0,0.7745496640655806,2883552.100120125
GBET,507208.0993425887,1554.0,0.09928195332095166,50356.6108429395
BALN,354240.17252424697,1322.0,0.5130706180448386,181750.22425332564
METX,1178896.4929727132,905.0,0.000493935655081063,582.2990115292449
OMM,1523514.9135648955,822.0,0.05531213923327508,84268.86902307255
FIN,31238.46638869563,587.0,1.2278860564469354,38357.27730346561
CFT,1354642.8004827602,408.0,0.033587153159696154,45498.595216494185
IUSDC,78726.823027,253.0,1.011697699988772,79647.745783839
USDS,411588.1185081355,248.0,1.0021458618849715,412471.3297639492
finOMM,3362.4507581928237,146.0,1.2278860564469354,4128.706401474395
oICX,668393.1493566206,105.0,0.7745496640655806,517703.6892979059
dbnUSD,27924.9555646067,51.0,1.004140178753186,28040.56987231895
obnUSD,287814.8852128487,51.0,1.004140178753186,289006.49028545764
TAP,1550970.9630412087,45.0,0.001786295752260859,2770.492843160445
oUSDS,145542.57909099484,42.0,1.0021458618849715,145854.89336410665
UP,3.158072327856209,34.0,2.0954015113182214,6.617429528642154
IAM,4503.604300679313,25.0,,
oIUSDC,25134.999121,25.0,1.011697699988772,25429.020799935504
IUSDT,3011.695682,24.0,1.006354681974979,3030.8340502645274
oOMM,20415.17,23.0,0.05531213923327508,1129.2067255109803
dUSDS,48257.3277291714,18.0,1.0021458618849715,48360.881289416
IDOGE,54682101.83226435,13.0,,
CHIU,3404187.3919102377,10.0,,
oBALN,2.873102119480277,9.0,0.5130706180448386,1.4741042801476814
MINT,3.0,3.0,,
finICX,75938.31307803054,3.0,1.2278860564469354,93243.59577861565
finOICX,1170.3327506561732,3.0,1.2278860564469354,1437.035265933903
dIUSDC,1001.00182,2.0,1.011697699988772,1012.7112389785746
dBALN,0.1200048005591147,2.0,0.5130706180448386,0.061570937191212566
uTAP,3.001249837330471,1.0,0.001786295752260859,0.005361119835897014
ICX,,,0.7053,
