IRC Token,Amount,No. of Transactions
USDS,22029770.639387757,4920
sICX,49868747.31807667,4323
IWIN,262566.6581,3471
dUSDS,6465994.765054067,2514
IUSDC,82271497.118455,2393
BALN,462111.67324256146,2242
oUSDS,7471432.775161059,2156
PGT,3000.0,2013
bnUSD,3906976.14833642,1953
oICX,21241078.42725171,1342
oIUSDC,27534042.815716002,890
dIUSDC,17646119.880607,887
METX,567585.2912221953,852
UP,4.7389805064553565,107
TAP,808845.5958113526,76
SEED,1107.093389,54
LDX,7894.5,34
ACT,2320.0,25
IAM,3894.976893398627,6
HGC,12500.0,2
OMM,1000000.0,1
ICXIOU,147.39046,1
EPX,1.3,1
uMETX,6110.519526010138,1
uSEED,3.44131512939e-05,1
uUP,0.3039337924416844,1
