to,Fees burned,Regular Tx,to_def,Internal Tx,Internal Event (excluding Tx),group
0,0.0,43168,System,3,43169,System
cx0000000000000000000000000000000000000000,3.3580024999999365,1887,governance,712,0,governance
cx9e3cadcc1a4be3323ea23371b84575abb32703ae,1.9965487499999999,972,MyID_1,0,972,MyID
cx2aa9b28a657e3121b75d3d4fe65e569398645d56,14.336836949999997,483,FRAMD Token,675,57,FRAMD
hx11de4e28be4845de3ea392fd8d758655bf766ca7,0.6,480,3-min_tx_bot_in,0,0,3-min_tx_bot_in
cx694e8c9f1a05c8c3719f30d46b97697960e4289e,4.088300812499995,435,MyID_2,435,0,MyID
cxca5faa5a71d986a2e84dd7e6f5ff791d29901ebe,1.2584818999999998,315,Relay_4,0,0,Relay
cx7ecb16e4c143b95e01d05933c17cb986cfe618e6,11.698982112499992,225,CraftRewards,879,6,Craft
cx88fd7df7ddff82f7cc735c871dc519838cb235bb,35.121946387499996,165,bnUSD,1519,18,bnUSD
cx85954d0dae92b63bf5cba03a59ca4ffe687bad0a,1.169397499999997,164,NebulaMultiToken,194,0,Nebula
cx2609b924e33ef00b648a409245c7ea394c467824,19.064105974999997,141,balanced_sicx,771,5,Balanced
cx9c4698411c6d9a780f605685153431dcda04609f,0.8497854374999945,116,Auction,315,0,Craft
cx2e6d0fc0eca04965d06038c8406093337f085fcf,24.184070812499996,104,Craft,885,11,Craft
cxba62bb61baf8dd8b6a04633fe33806547785a00c,3.085229312499999,101,MyID_3,101,0,MyID
cx66d4d90f5f113eba575bf793570135f9b10cece1,6.894360012499997,93,balanced_loans,275,26,Balanced
hxb568381d35d3e7a6383200e8a0d30310af20b929,0.08750000000000001,70,unknown_hx,0,0,unknown_hx
cxa0af3165c08318e988cb30993b3048335b94af6c,2.488434537499998,69,balanced_dex,212,0,Balanced
cx2dc662031f3d62bcdba4f63e9bf827767c847565,0.8068864999999986,56,GangstaBet Skill,353,380,GangstaBet
cx14002628a4599380f391f708843044bc93dce27d,22.827535187499997,42,iAM Div,5246,5260,iAM 
cxf61cd5a45dc9f91c15aa65831a30a90d59a09619,6.199009187499998,41,balanced_baln,252,18,Balanced
cxcb455f26a2c01c686fa7f30e1e3661642dd53c0d,9.047640837499998,37,omm_lending,1381,0,Omm
cx334db6519871cb2bfd154cec0905ced4ea142de1,0.125876624999999,35,unknown_cx,0,0,unknown_cx
cxaa99a164586883eed0322d62a31946dfa9491fa6,2.679336462499999,33,optimus_rewards,114,2,Optimus
cxe971c0a92c58db502e4a224efc6ba311eb1c173d,4.694999425,31,Inanis Treasury,37,10,Inanis
cx30f18d26f45d990112a4cd4825c0b79af73aac7c,6.853481312499999,30,Yetis,826,814,FRAMD
cx10d59e8103ab44635190bd4139dbfd682fa2d07e,1.3366603249999993,30,balanced_rewards,97,0,Balanced
cx1a29259a59f463a67bb2ef84398b30ca56b5830a,6.259947174999999,28,omm_token,281,7,Omm
cx203d9cd2a669be67177e997b8948ce2c35caffae,5.677051437499999,27,balanced_dividends,365,11,Balanced
cx57d7acf8b5114b787ecdd99ca460c2272e4d9135,0.2443110124999992,25,NebulaPlanetToken,37,0,Nebula
cxcc711062b732ed14954008da8a5b5193b4d48618,0.044399999999997594,24,peek_1,0,0,peek
cx8683d50b9f53275081e13b64fba9d6a56b7c575d,0.0706063124999986,21,gangstabet_trade,19,0,GangstaBet
cx21e94c08c03daee80c25d8ee3ea22a20786ec231,4.805937699999999,20,Balanced Router,226,12,Balanced
hxfcb101a3f031652dd7698fbf0dbc88c9b255e0a1,0.01875,15,unknown_hx,0,0,unknown_hx
cxbb2871f468a3008f80b08fdde5b8b951583acf06,2.138382149999999,15,Stably_USD,112,2,Stably_USD
cx785d504f44b5d2c8dac04c5a1ecd75f18ee57d16,2.3295895874999992,15,Finance Token,83,0,Optimus
cx6139a27c15f1653471ffba0b4b88dc15de7e3267,3.0074657124999997,15,gangstabet_token,192,6,GangstaBet
cx943cf4a4e4e281d82b15ae0564bbdcbf8114b3ec,0.0813309624999999,13,NebulaSpaceshipToken,13,0,Nebula
cx5b5a03cb525a1845d0af3a872d525b18a810acb0,1.6241254374999996,13,btp-0x38.bsc-BTCB,102,1,BTP
cx28b2ec885b50c8a93da752f2d0467a67127a70e8,1.7775787624999995,13,CROWN,100,5,GangstaBet
cx7b1843b7ef5368a080ccf59c0a9d1bdec474f9f6,0.4515887749999996,12,optimus_dividends,78,0,Optimus
hxa390d24fdcba68515b492ffc553192802706a121,0.01375,11,bitvavo_hot,0,0,bitvavo
