,date,Regular Tx,Fees burned,Internal Tx,Internal Event (excluding Tx),Regular & Interal Tx,Regular & Interal Tx (MA7),Regular & Interal Tx (MA30),Fees burned (MA7),Fees burned (MA30)
0,2022-09-19,60324,320.2988165999996,26444,53469,86768,,,,
1,2022-09-20,52969,369.11432416249977,25104,53355,78073,,,,
2,2022-09-21,53587,351.1602213374997,26244,54190,79831,,,,
3,2022-09-22,53251,319.9802250249997,26980,54968,80231,,,,
4,2022-09-23,53592,277.1518774999997,25127,55071,78719,,,,
5,2022-09-24,51758,219.56697004999972,23912,54742,75670,,,,
6,2022-09-25,52984,204.1722010749997,23218,53172,76202,79356.28571428571,,294.49209082142823,
7,2022-09-26,54235,281.9612858249997,28819,56335,83054,78825.71428571429,,289.01530071071403,
8,2022-09-27,54107,305.6677038249997,27464,54053,81571,79325.42857142857,,279.95149780535684,
9,2022-09-28,52371,255.59629596249977,21610,53312,73981,78489.71428571429,,266.29950846607113,
10,2022-09-29,53365,205.61118356249972,22557,54454,75922,77874.14285714286,,249.9610739714283,
11,2022-09-30,52821,196.08558981249973,21717,54427,74538,77276.85714285714,,238.38017573035685,
12,2022-10-01,51472,174.82154069999976,20458,53670,71930,76742.57142857143,,231.98797153749973,
13,2022-10-02,52802,185.59813133749967,22542,52672,75344,76620.0,,229.33453300357112,
14,2022-10-03,53369,232.3227704124997,27609,57165,80978,76323.42857142857,,222.24331651607116,
15,2022-10-04,54885,325.47213194999966,32047,58839,86932,77089.28571428571,,225.0725205339283,
16,2022-10-05,53528,208.0598775124997,22607,56133,76135,77397.0,,218.28160361249974,
17,2022-10-06,52684,187.4167616999997,21874,54807,74558,77202.14285714286,,215.68240048928538,
18,2022-10-07,52250,187.21928618749976,20212,54163,72462,76905.57142857143,,214.41578568571398,
19,2022-10-08,51300,185.76604319999976,19877,55074,71177,76798.0,,215.97928604285684,
20,2022-10-09,51628,170.17564966249972,20170,53091,71798,76291.42857142857,,213.77607437499972,
21,2022-10-10,51269,230.84950841249977,21614,53595,72883,75135.0,,213.56560837499975,
22,2022-10-11,53408,228.01322313749972,22538,53247,75946,73565.57142857143,,199.64290711607117,
23,2022-10-12,51668,205.99616148749976,21902,54948,73570,73199.14285714286,,199.34809054107114,
24,2022-10-13,53100,346.39987422499973,28154,54448,81254,74155.71428571429,,222.05996375892832,
25,2022-10-14,53383,197.19968661249973,16668,48925,70051,73811.28571428571,,223.48573524821404,
26,2022-10-15,51130,136.48680011249976,16905,52358,68035,73362.42857142857,,216.44584337857117,
27,2022-10-16,52580,187.6155427749997,22210,52690,74790,73789.85714285714,,218.9372566803569,
28,2022-10-17,54578,262.2074535874997,25617,53454,80195,74834.42857142857,,223.4169631339283,
29,2022-10-18,53392,231.8591426749997,24208,53541,77600,75070.71428571429,76673.26666666666,223.96638021071402,239.66154268083307
