IRC Token,Amount,No. of Transactions
bnUSD,4589386.094841074,10057
sICX,6485330.426346247,9695
OMM,2326217.928393319,5172
BALN,814328.8037863993,3776
USDS,2240268.213402069,3055
IUSDC,1537854.980742,2708
METX,5652400.9933288,2662
CFT,695632.547197162,861
IUSDT,173707.997902,839
PGT,3000.0,572
oUSDS,803931.4827044668,319
oIUSDC,363544.280184,287
oICX,655912.4096674306,234
GBET,39738.0,189
UP,6.277207548205446,177
dIUSDC,183861.432951,145
SEED,156.380932,88
dUSDS,361059.32293605024,79
TAP,930352.3705344738,65
LDX,2300.0,6
HGC,2250.0,3
ICXIOU,2099.73,2
EPX,0.0007149999999999999,2
ACT,100.0,1
uTAP,4.301846433047194,1
