IRC Token,Amount,No. of Transactions
OMM,4069385.092835535,24270
sICX,18167831.67429101,15906
IUSDC,9403793.754468,14549
bnUSD,6275345.651203725,11746
BALN,1294708.8939059824,5294
USDS,7690876.870334264,4844
IWIN,396998.1407,4019
oIUSDC,2405303.013865,3088
PGT,3000.0,2074
oUSDS,2618188.2410302097,1374
oICX,7785066.581006414,1033
METX,288707.51047697815,843
dIUSDC,1562775.274054,518
dUSDS,1561806.7917622267,414
UP,22.416309128788004,111
TAP,1170299.7188672964,74
SEED,10618.226701,55
LDX,3654.5,21
EPX,34.7896,8
ACT,500.0,5
IAM,3480.0999999999995,5
HGC,170500.0,3
uMETX,313.9976927446633,1
uSEED,0.0003642849591424,1
uTAP,2897.5529414422303,1
uUP,4.523109454575029,1
