IRC Token,Amount,No. of Transactions
bnUSD,7283944.250540013,15240
sICX,6619083.089372821,12955
OMM,6858173.858686249,6408
IUSDC,14468830.251800999,5298
USDS,5343868.461621346,4679
METX,30980427.404359877,4646
BALN,696756.2589263427,3511
CFT,501752.1875068206,812
IUSDT,1314577.110079,792
PGT,3000.0,596
oIUSDC,4297592.625391,498
oUSDS,1314913.3485106723,461
dIUSDC,876646.532885,295
UP,5.805893937632336,276
oICX,928174.2633311563,263
GBET,33979.0,224
dUSDS,766593.9958982797,166
SEED,220.717143,138
TAP,1620656.332685013,54
ACT,410.0,5
HGC,190500.0,4
LDX,500.0,2
EPX,0.20800000000000002,2
ICXIOU,1097.00887,1
IAM,12.959335482819588,1
uMETX,0.869561616820053,1
uUP,0.0358174777069501,1
