IRC Token,Amount,No. of Transactions
sICX,23877157.567411676,8343
bnUSD,6649152.665618782,6366
IWIN,7174.6657000000005,2885
BALN,1106795.7164888913,2808
OMM,4548426.293665004,2247
METX,9018518.67858271,1830
finICX,5970202.924483727,1718
GBET,1706244.1522260166,1339
IUSDC,2424605.491682,1304
USDS,1679904.1176229094,1087
oICX,2628953.731647149,453
CFT,4727826.12779009,290
IUSDT,102665.889812,128
oOMM,533223.2440413538,124
dUSDS,413280.7580949192,123
oIUSDC,627481.393496,114
dIUSDC,345982.150669,107
obnUSD,558206.3101100491,106
dbnUSD,196763.6557531796,93
oUSDS,416550.3564803503,92
UP,4.9162558070142905,75
TAP,531700.7667698523,64
oBALN,65529.32664597864,28
FIN,0.0,15
LDX,4100.0,9
dBALN,6135.530355552783,8
SEED,69.002642,5
HGC,52000.0,3
IETH,0.000585658583131,1
