IRC Token,Amount,No. of Transactions
BALN,826060.2570966156,8580
sICX,4767899.131732081,4249
bnUSD,4023309.8067674157,4079
LDX,437213.9921875,3408
PGT,4126.991670352605,1994
METX,1541220.8288678948,887
CODA,1130.7858056133678,483
UP,149.52879659323207,253
SEED,7719.748112,127
TAP,4098777.6773745203,123
EPX,17.54,33
ACT,772.0,26
IAM,15620.967931934001,16
USDS,14176.369999999999,13
ICXIOU,20176.662156,10
IWIN,157.1505,8
IUSDC,88016.95494,7
IETH,0.12387609506025471,5
uSEED,0.0001566069289636,4
uTAP,7974.781090855386,3
uMETX,7418.436157241796,2
uUP,26.794595821960247,2
uETH,3.1350975755438837,2
HGC,5500.0,2
OMMWT,100.0,1
