IRC Token,Amount,No. of Transactions
bnUSD,6445178.520720623,5749
sICX,7316754.162340112,5462
BALN,1128752.841703835,2835
OMM,4614817.357959757,2207
GBET,3036332.001094448,1468
IUSDC,1542200.185623,1361
METX,857242.2143571895,1171
USDS,940720.8306004668,860
oICX,1110927.9184515832,221
CFT,199289.84437071058,133
obnUSD,713503.4925736787,121
oIUSDC,213400.28225,115
oUSDS,285412.614864811,86
oOMM,38791.557311914665,83
dbnUSD,135898.48563769707,75
IUSDT,111.141918,70
dIUSDC,177985.660469,52
dUSDS,117416.01475318919,45
TAP,590697.2926430289,37
oBALN,181418.8187857536,30
LDX,8764.0,19
UP,1.5493323777806889,19
dBALN,14173.210937059508,5
IAM,66.94509027946648,1
