IRC Token,Amount,No. of Transactions
OMM,4462793.182239525,10214
sICX,7426381.73870918,9443
bnUSD,6127419.889259446,7171
IUSDC,4176196.406178,4974
BALN,886686.4173607936,4302
USDS,5187495.885196751,3096
METX,457274.5059912541,825
PGT,3406.0926398756446,819
oUSDS,1834490.497625481,801
oICX,1274016.7818344932,670
dIUSDC,833237.136493,372
oIUSDC,740835.86566,330
dUSDS,964176.4780425399,241
UP,58.257862667456905,97
TAP,1136928.414871985,65
SEED,216.44689100000002,48
LDX,2150.0,12
EPX,0.585,2
uMETX,184.63796089753603,2
uSEED,1.7940974e-09,2
ICXIOU,60.74769,1
HGC,500.0,1
